,Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Merchant,Category,Amount,Payment_Mode,Transaction_Status,Location,Year,Month,Day
1720,101720,3022,2023-03-13,Online,BestBuy,Travel,3196.71,UPI,Declined,Beckerborough,2023,3,13
1725,101725,1835,2023-03-13,Online,Apple Store,Travel,4914.51,Credit Card,Approved,Christopherchester,2023,3,13
1728,101728,3588,2023-03-14,Online,BestBuy,Dining,4877.07,UPI,Approved,East Vincentside,2023,3,14
1741,101741,1028,2023-03-14,Online,Amazon,Travel,3768.52,UPI,Approved,Danaland,2023,3,14
1757,101757,4149,2023-03-15,Online,Uber,Groceries,3287.51,UPI,Approved,New Nicholasville,2023,3,15
1764,101764,2679,2023-03-15,Online,Amazon,Clothing,3338.75,Credit Card,Approved,Christopherberg,2023,3,15
1769,101769,1334,2023-03-15,Online,Target,Travel,3752.81,Credit Card,Approved,Port Elizabethport,2023,3,15
1771,101771,1523,2023-03-15,Online,Netflix,Entertainment,4223.63,Credit Card,Approved,Tiffanybury,2023,3,15
1773,101773,3342,2023-03-15,Online,BestBuy,Entertainment,3209.85,Debit Card,Declined,Grantbury,2023,3,15
1783,101783,4240,2023-03-16,Online,Apple Store,Groceries,2895.49,PayPal,Pending,Davismouth,2023,3,16
1784,101784,4951,2023-03-16,Online,BestBuy,Entertainment,3468.36,UPI,Approved,West Nicholasburgh,2023,3,16
1789,101789,1976,2023-03-16,Online,Netflix,Dining,4066.29,Credit Card,Approved,West Tim,2023,3,16
1800,101800,2694,2023-03-17,Online,BestBuy,Dining,4668.83,Debit Card,Approved,Coxmouth,2023,3,17
1801,101801,4298,2023-03-17,Online,Netflix,Dining,4354.34,UPI,Approved,South Christopher,2023,3,17
1821,101821,3609,2023-03-17,Online,Netflix,Electronics,4464.85,Debit Card,Approved,Port Susan,2023,3,17
1825,101825,3783,2023-03-18,Online,Apple Store,Travel,2988.18,Debit Card,Declined,Hernandeztown,2023,3,18
1827,101827,3388,2023-03-18,Online,Amazon,Dining,3481.6,Credit Card,Approved,Tonyamouth,2023,3,18
1830,101830,2894,2023-03-18,Online,Uber,Entertainment,2515.89,UPI,Approved,Port Nancy,2023,3,18
1836,101836,4731,2023-03-18,Online,Walmart,Clothing,3029.43,Credit Card,Approved,Friedmanside,2023,3,18
1841,101841,3783,2023-03-18,Online,Netflix,Electronics,4357.63,PayPal,Approved,North Michelleton,2023,3,18
1847,101847,4073,2023-03-18,Online,Netflix,Travel,3836.0,PayPal,Approved,New Xavier,2023,3,18
1857,101857,2593,2023-03-19,Online,Apple Store,Dining,4706.18,Debit Card,Approved,West Justinton,2023,3,19
1859,101859,1044,2023-03-19,Online,BestBuy,Dining,3192.07,UPI,Pending,Vargasbury,2023,3,19
1879,101879,2471,2023-03-20,Online,Netflix,Clothing,3660.01,Credit Card,Approved,New Emilyland,2023,3,20
1898,101898,4663,2023-03-21,Online,Netflix,Groceries,3040.5,PayPal,Approved,Port James,2023,3,21
1901,101901,2050,2023-03-21,Online,Apple Store,Entertainment,2611.05,UPI,Approved,Port David,2023,3,21
1903,101903,4766,2023-03-21,Online,Amazon,Dining,4773.98,PayPal,Approved,Craigberg,2023,3,21
1908,101908,1484,2023-03-21,Online,Target,Groceries,3592.0,PayPal,Approved,Knightport,2023,3,21
1912,101912,1388,2023-03-21,Online,BestBuy,Groceries,3486.8,UPI,Approved,East Jordanbury,2023,3,21
1929,101929,1322,2023-03-22,Online,Apple Store,Dining,4656.56,Debit Card,Approved,South Jamesville,2023,3,22
1937,101937,4169,2023-03-22,Online,BestBuy,Travel,4393.53,Credit Card,Approved,Katherinefurt,2023,3,22
1950,101950,2006,2023-03-23,Online,Target,Clothing,3670.44,Debit Card,Declined,New Taraborough,2023,3,23
1964,101964,1746,2023-03-23,Online,Apple Store,Travel,4768.17,PayPal,Declined,East Kimberly,2023,3,23
1967,101967,3181,2023-03-23,Online,Uber,Groceries,4187.89,UPI,Pending,West Christineshire,2023,3,23
1970,101970,3879,2023-03-24,Online,Target,Travel,3855.46,PayPal,Approved,Perkinschester,2023,3,24
1982,101982,1414,2023-03-24,Online,Netflix,Groceries,4730.08,PayPal,Approved,Bennettstad,2023,3,24
1992,101992,3564,2023-03-25,Online,Netflix,Entertainment,3994.01,PayPal,Approved,Lake Tonya,2023,3,25
2001,102001,4622,2023-03-25,Online,Apple Store,Electronics,4003.17,PayPal,Declined,Wrightberg,2023,3,25
2010,102010,2665,2023-03-25,Online,Walmart,Electronics,2501.98,Credit Card,Approved,Kennethton,2023,3,25
2011,102011,2249,2023-03-25,Online,Target,Entertainment,3603.52,PayPal,Approved,West Dawnside,2023,3,25
2016,102016,3290,2023-03-26,Online,Amazon,Groceries,4431.08,UPI,Approved,Smithberg,2023,3,26
2019,102019,1224,2023-03-26,Online,Walmart,Electronics,4376.05,UPI,Approved,Joefurt,2023,3,26
2031,102031,2674,2023-03-26,Online,Amazon,Entertainment,3008.38,Credit Card,Approved,Lindabury,2023,3,26
2053,102053,3205,2023-03-27,Online,BestBuy,Groceries,2749.37,PayPal,Approved,Port Rhondaborough,2023,3,27
2059,102059,1638,2023-03-27,Online,Apple Store,Entertainment,3825.74,Debit Card,Approved,Lake Angelhaven,2023,3,27
2061,102061,1747,2023-03-27,Online,BestBuy,Clothing,4057.11,Credit Card,Approved,Millerton,2023,3,27
2065,102065,2270,2023-03-28,Online,Walmart,Electronics,3634.95,Debit Card,Approved,Wesleyport,2023,3,28
2070,102070,3996,2023-03-28,Online,BestBuy,Entertainment,4431.71,UPI,Approved,West Markton,2023,3,28
2076,102076,3403,2023-03-28,Online,Uber,Entertainment,3124.08,Debit Card,Approved,Danielleview,2023,3,28
2092,102092,3987,2023-03-29,Online,Amazon,Clothing,3053.31,Debit Card,Declined,South Christianborough,2023,3,29
2104,102104,4183,2023-03-29,Online,Uber,Electronics,3681.32,UPI,Declined,West Janice,2023,3,29
2105,102105,4546,2023-03-29,Online,Walmart,Groceries,3267.84,Debit Card,Approved,Alvarezshire,2023,3,29
2107,102107,2812,2023-03-29,Online,Amazon,Clothing,4661.29,PayPal,Approved,East Beckyland,2023,3,29
2111,102111,3705,2023-03-29,Online,Apple Store,Dining,3433.37,Credit Card,Approved,Ryanside,2023,3,29
2116,102116,4424,2023-03-30,Online,Uber,Entertainment,2583.88,UPI,Approved,East Timothy,2023,3,30
2117,102117,3693,2023-03-30,Online,BestBuy,Groceries,2996.85,PayPal,Approved,Lake Stacey,2023,3,30
2118,102118,2849,2023-03-30,Online,BestBuy,Travel,4425.98,Credit Card,Pending,West James,2023,3,30
2124,102124,4351,2023-03-30,Online,Apple Store,Electronics,3297.69,Debit Card,Approved,West Michellefort,2023,3,30
2127,102127,3595,2023-03-30,Online,Apple Store,Groceries,3988.3,Credit Card,Pending,Markmouth,2023,3,30
2138,102138,4713,2023-03-31,Online,Walmart,Electronics,3843.98,PayPal,Approved,Erinton,2023,3,31
2144,102144,4061,2023-03-31,Online,Netflix,Entertainment,4400.65,Debit Card,Approved,Hernandezfurt,2023,3,31
2151,102151,4909,2023-03-31,Online,Target,Travel,4517.09,Credit Card,Approved,West Kimberly,2023,3,31
2152,102152,2146,2023-03-31,Online,Target,Dining,3118.09,PayPal,Approved,South Beverly,2023,3,31
2155,102155,2603,2023-03-31,Online,Walmart,Clothing,3918.92,UPI,Approved,North Sandrashire,2023,3,31
2162,102162,3064,2023-04-01,Online,Amazon,Dining,4840.44,Credit Card,Approved,Lake Elizabeth,2023,4,1
2180,102180,3328,2023-04-01,Online,Netflix,Groceries,3280.88,Credit Card,Approved,New Michael,2023,4,1
2186,102186,3859,2023-04-02,Online,BestBuy,Electronics,4190.63,Debit Card,Approved,Lake Shannon,2023,4,2
2194,102194,2038,2023-04-02,Online,Uber,Travel,4007.64,UPI,Approved,West Danielleshire,2023,4,2
2201,102201,3973,2023-04-02,Online,Walmart,Dining,3420.47,PayPal,Approved,Jamesfurt,2023,4,2
2207,102207,4401,2023-04-02,Online,Amazon,Entertainment,2733.34,UPI,Approved,East Christopherburgh,2023,4,2
2213,102213,3392,2023-04-03,Online,Walmart,Travel,4656.56,Credit Card,Approved,Johnsonberg,2023,4,3
2220,102220,4774,2023-04-03,Online,Uber,Entertainment,2938.79,UPI,Approved,Smithland,2023,4,3
2221,102221,4313,2023-04-03,Online,Uber,Travel,3412.67,PayPal,Approved,Grimesstad,2023,4,3
2225,102225,1314,2023-04-03,Online,Target,Dining,3706.08,UPI,Approved,Collinsburgh,2023,4,3
2231,102231,3709,2023-04-03,Online,Target,Entertainment,4820.18,PayPal,Approved,North Christopher,2023,4,3
2244,102244,2858,2023-04-04,Online,BestBuy,Groceries,2699.08,Debit Card,Approved,New Robertton,2023,4,4
2246,102246,1973,2023-04-04,Online,Uber,Dining,4799.67,UPI,Approved,West Erikfurt,2023,4,4
2251,102251,3829,2023-04-04,Online,Apple Store,Electronics,4179.47,Credit Card,Pending,Andersonborough,2023,4,4
2259,102259,3615,2023-04-05,Online,Amazon,Groceries,3663.42,UPI,Approved,Smithbury,2023,4,5
2269,102269,4008,2023-04-05,Online,BestBuy,Electronics,4198.34,UPI,Approved,Wilsonview,2023,4,5
2270,102270,3949,2023-04-05,Online,Amazon,Clothing,3355.59,Debit Card,Approved,Christinamouth,2023,4,5
2271,102271,4243,2023-04-05,Online,Walmart,Dining,3167.93,Debit Card,Approved,Kevinland,2023,4,5
2272,102272,4722,2023-04-05,Online,Netflix,Electronics,4636.14,PayPal,Approved,West Nancy,2023,4,5
2273,102273,4743,2023-04-05,Online,Uber,Travel,2808.32,PayPal,Approved,Lake Christine,2023,4,5
2282,102282,4996,2023-04-06,Online,Amazon,Electronics,4557.89,Debit Card,Pending,West Sandra,2023,4,6
2292,102292,1906,2023-04-06,Online,Apple Store,Clothing,4642.28,PayPal,Approved,Lake Jose,2023,4,6
2300,102300,1993,2023-04-06,Online,Target,Dining,3234.45,PayPal,Approved,Lake Brandonview,2023,4,6
2305,102305,2441,2023-04-07,Online,Netflix,Clothing,3981.68,UPI,Declined,Zacharystad,2023,4,7
2308,102308,1818,2023-04-07,Online,Amazon,Clothing,4854.58,Debit Card,Approved,Hernandeztown,2023,4,7
2310,102310,3823,2023-04-07,Online,Apple Store,Entertainment,4031.83,PayPal,Approved,West Chad,2023,4,7
2314,102314,1903,2023-04-07,Online,Uber,Electronics,4845.3,PayPal,Approved,Port Catherine,2023,4,7
2326,102326,3591,2023-04-07,Online,Walmart,Electronics,3053.87,PayPal,Approved,East Ryan,2023,4,7
2329,102329,3919,2023-04-08,Online,BestBuy,Travel,2811.41,Debit Card,Approved,Kennethhaven,2023,4,8
2330,102330,2506,2023-04-08,Online,BestBuy,Clothing,3543.19,Credit Card,Approved,Lake Amy,2023,4,8
2336,102336,4290,2023-04-08,Online,Uber,Travel,3718.26,UPI,Declined,Port Russellfurt,2023,4,8
2345,102345,1337,2023-04-08,Online,BestBuy,Travel,3290.72,UPI,Approved,West Susanland,2023,4,8
2346,102346,4102,2023-04-08,Online,Walmart,Dining,4678.16,UPI,Approved,New Kevinbury,2023,4,8
2351,102351,1109,2023-04-08,Online,Walmart,Travel,4026.59,Debit Card,Approved,Port Lauratown,2023,4,8
2352,102352,2306,2023-04-09,Online,BestBuy,Clothing,3913.57,UPI,Declined,Lake Joseton,2023,4,9
2354,102354,2285,2023-04-09,Online,Walmart,Dining,4576.88,Credit Card,Approved,Mckinneyton,2023,4,9
2356,102356,1121,2023-04-09,Online,Uber,Groceries,4018.7,UPI,Approved,New Cherylland,2023,4,9
2358,102358,3181,2023-04-09,Online,Amazon,Dining,4298.88,UPI,Approved,Cartermouth,2023,4,9
2362,102362,4628,2023-04-09,Online,BestBuy,Dining,4148.95,Credit Card,Approved,Port Carolyn,2023,4,9
2365,102365,3802,2023-04-09,Online,BestBuy,Dining,4104.57,PayPal,Pending,Port Hannahville,2023,4,9
2368,102368,3061,2023-04-09,Online,Target,Groceries,4569.26,Debit Card,Approved,Tonyahaven,2023,4,9
2394,102394,2407,2023-04-10,Online,Uber,Travel,2577.27,UPI,Approved,Paulaberg,2023,4,10
2401,102401,2942,2023-04-11,Online,Netflix,Dining,4982.44,PayPal,Pending,Jamesburgh,2023,4,11
2410,102410,4816,2023-04-11,Online,BestBuy,Electronics,2567.49,UPI,Approved,South Walter,2023,4,11
2422,102422,1117,2023-04-11,Online,Uber,Dining,4634.63,Credit Card,Approved,South Steven,2023,4,11
2429,102429,4520,2023-04-12,Online,Uber,Groceries,4510.35,Credit Card,Approved,South Christopherview,2023,4,12
2434,102434,1874,2023-04-12,Online,Walmart,Electronics,2812.61,Debit Card,Approved,Teresafurt,2023,4,12
2435,102435,3737,2023-04-12,Online,Apple Store,Travel,2965.13,Credit Card,Declined,Marcusmouth,2023,4,12
2447,102447,2331,2023-04-12,Online,Target,Dining,3652.34,PayPal,Approved,East Tamara,2023,4,12
2448,102448,3676,2023-04-13,Online,Apple Store,Entertainment,3207.17,PayPal,Approved,Lake Sarahland,2023,4,13
2459,102459,4492,2023-04-13,Online,Apple Store,Groceries,2686.82,UPI,Approved,Isaacville,2023,4,13
2466,102466,1204,2023-04-13,Online,Uber,Travel,4599.65,Credit Card,Declined,East Charles,2023,4,13
2484,102484,4116,2023-04-14,Online,Target,Entertainment,4088.47,UPI,Approved,Lake Maryport,2023,4,14
2491,102491,4162,2023-04-14,Online,Walmart,Dining,2556.67,PayPal,Approved,New Ashley,2023,4,14
2495,102495,4885,2023-04-14,Online,Amazon,Clothing,3571.47,Debit Card,Approved,Ayalashire,2023,4,14
2497,102497,3131,2023-04-15,Online,Uber,Dining,3011.68,Debit Card,Approved,New John,2023,4,15
2517,102517,2277,2023-04-15,Online,Netflix,Clothing,3275.21,PayPal,Declined,Michellestad,2023,4,15
2519,102519,3824,2023-04-15,Online,Apple Store,Entertainment,3904.01,PayPal,Approved,West Nicoleton,2023,4,15
2544,102544,4596,2023-04-17,Online,Netflix,Electronics,2865.75,UPI,Approved,East Michelle,2023,4,17
2545,102545,3866,2023-04-17,Online,Walmart,Clothing,2626.57,UPI,Approved,West Frank,2023,4,17
2549,102549,1950,2023-04-17,Online,Target,Electronics,3826.25,Debit Card,Approved,East Katherineborough,2023,4,17
2558,102558,3046,2023-04-17,Online,BestBuy,Groceries,4304.46,UPI,Approved,North Lauratown,2023,4,17
2566,102566,1919,2023-04-17,Online,Target,Groceries,4656.74,Credit Card,Approved,Robbinschester,2023,4,17
2581,102581,1776,2023-04-18,Online,Target,Travel,2814.07,Debit Card,Approved,Jamesfurt,2023,4,18
2587,102587,2156,2023-04-18,Online,Amazon,Entertainment,3419.56,Debit Card,Declined,Jenniferside,2023,4,18
2588,102588,1776,2023-04-18,Online,Apple Store,Dining,3684.87,PayPal,Approved,New Jeffreyside,2023,4,18
2589,102589,2675,2023-04-18,Online,Netflix,Clothing,3467.22,Credit Card,Approved,Martinview,2023,4,18
2590,102590,3142,2023-04-18,Online,Walmart,Electronics,4440.25,Debit Card,Approved,North Jacobstad,2023,4,18
2591,102591,3163,2023-04-18,Online,Walmart,Travel,4174.56,Credit Card,Approved,Leahside,2023,4,18
2592,102592,1000,2023-04-19,Online,Amazon,Electronics,3324.12,UPI,Declined,West Joshua,2023,4,19
2594,102594,3386,2023-04-19,Online,Walmart,Clothing,2541.8,Debit Card,Approved,East Gregory,2023,4,19
2608,102608,3156,2023-04-19,Online,Walmart,Groceries,3655.03,Debit Card,Pending,Lake Rachel,2023,4,19
2623,102623,1809,2023-04-20,Online,Apple Store,Entertainment,4128.78,Debit Card,Approved,North Andres,2023,4,20
2663,102663,2394,2023-04-21,Online,Uber,Dining,4389.03,UPI,Approved,Alyssaville,2023,4,21
2671,102671,2591,2023-04-22,Online,Apple Store,Entertainment,4133.7,Credit Card,Approved,Robinsonburgh,2023,4,22
2675,102675,3132,2023-04-22,Online,Apple Store,Groceries,4223.29,PayPal,Approved,Lake William,2023,4,22
2693,102693,4035,2023-04-23,Online,Walmart,Travel,4944.5,Credit Card,Pending,Parkerborough,2023,4,23
2694,102694,3365,2023-04-23,Online,Walmart,Clothing,3791.57,Debit Card,Approved,West Brent,2023,4,23
2696,102696,2566,2023-04-23,Online,Walmart,Travel,2701.59,PayPal,Approved,Garcialand,2023,4,23
2715,102715,1276,2023-04-24,Online,Uber,Entertainment,2920.26,Credit Card,Approved,North Ashleyside,2023,4,24
2719,102719,4881,2023-04-24,Online,BestBuy,Clothing,4857.58,Credit Card,Approved,Johnsonport,2023,4,24
2723,102723,1791,2023-04-24,Online,Apple Store,Entertainment,3400.17,Debit Card,Approved,North Jackie,2023,4,24
2726,102726,4281,2023-04-24,Online,Uber,Groceries,4959.17,Credit Card,Approved,Darlenefurt,2023,4,24
2737,102737,2243,2023-04-25,Online,Target,Clothing,4764.36,Credit Card,Approved,Seanport,2023,4,25
2747,102747,1307,2023-04-25,Online,Apple Store,Entertainment,4901.09,PayPal,Approved,Skinnermouth,2023,4,25
2774,102774,1943,2023-04-26,Online,BestBuy,Entertainment,4093.44,Debit Card,Declined,Port Autumntown,2023,4,26
2778,102778,3387,2023-04-26,Online,Amazon,Travel,4490.56,Credit Card,Declined,Kristinaland,2023,4,26
2782,102782,3967,2023-04-26,Online,Amazon,Electronics,3262.51,PayPal,Approved,New Stacey,2023,4,26
2789,102789,2171,2023-04-27,Online,Target,Electronics,3287.82,UPI,Approved,North Tina,2023,4,27
2804,102804,3513,2023-04-27,Online,Amazon,Electronics,4413.09,Credit Card,Approved,Bradleystad,2023,4,27
2810,102810,3540,2023-04-28,Online,BestBuy,Entertainment,3313.3,Credit Card,Approved,Port Jessicafurt,2023,4,28
2817,102817,2754,2023-04-28,Online,Amazon,Dining,4314.5,UPI,Declined,Port Valeriebury,2023,4,28
2819,102819,3454,2023-04-28,Online,Amazon,Dining,3212.93,UPI,Approved,West Elizabethview,2023,4,28
2820,102820,2664,2023-04-28,Online,Uber,Electronics,3600.0,Debit Card,Approved,Jordantown,2023,4,28
2822,102822,4453,2023-04-28,Online,Amazon,Electronics,3107.17,UPI,Pending,North Erica,2023,4,28
2832,102832,2963,2023-04-29,Online,Amazon,Entertainment,4034.9,Debit Card,Approved,Michaelchester,2023,4,29
2839,102839,2538,2023-04-29,Online,Amazon,Dining,3530.77,PayPal,Approved,New Pamelaland,2023,4,29
2858,102858,1028,2023-04-30,Online,Walmart,Entertainment,4790.14,Debit Card,Approved,Gutierrezland,2023,4,30
2862,102862,4216,2023-04-30,Online,Amazon,Entertainment,2932.2,PayPal,Approved,Castroton,2023,4,30
2864,102864,4654,2023-04-30,Online,Target,Entertainment,2747.33,Credit Card,Declined,South Edwardberg,2023,4,30
2875,102875,3519,2023-04-30,Online,Target,Clothing,4532.29,Debit Card,Approved,Laurenbury,2023,4,30
2877,102877,4746,2023-04-30,Online,Apple Store,Entertainment,2515.65,Debit Card,Approved,Michaelfort,2023,4,30
2878,102878,4227,2023-04-30,Online,BestBuy,Dining,3959.19,UPI,Declined,Cummingsborough,2023,4,30
2880,102880,2957,2023-05-01,Online,Uber,Dining,3947.75,PayPal,Approved,Ericburgh,2023,5,1
2888,102888,1410,2023-05-01,Online,Apple Store,Dining,3166.64,Debit Card,Approved,Port Christopher,2023,5,1
2901,102901,3003,2023-05-01,Online,Amazon,Entertainment,3507.46,Credit Card,Approved,South Amanda,2023,5,1
2903,102903,2692,2023-05-01,Online,Amazon,Dining,4264.23,Credit Card,Approved,East Connie,2023,5,1
2905,102905,4090,2023-05-02,Online,Target,Clothing,2907.78,PayPal,Approved,West Jeremyhaven,2023,5,2
2910,102910,1406,2023-05-02,Online,Target,Clothing,4592.88,PayPal,Approved,South Markchester,2023,5,2
2922,102922,4213,2023-05-02,Online,Uber,Clothing,4525.6,UPI,Approved,Banksberg,2023,5,2
2929,102929,1630,2023-05-03,Online,Amazon,Dining,4283.89,Debit Card,Approved,Jacksonfurt,2023,5,3
2936,102936,3047,2023-05-03,Online,Netflix,Groceries,3108.4,UPI,Approved,Bruceland,2023,5,3
2944,102944,3531,2023-05-03,Online,BestBuy,Groceries,3291.75,Debit Card,Approved,Breannabury,2023,5,3
2948,102948,1926,2023-05-03,Online,Uber,Entertainment,4508.88,UPI,Approved,Odonnellport,2023,5,3
2949,102949,1031,2023-05-03,Online,Netflix,Electronics,3040.97,Debit Card,Approved,East Carla,2023,5,3
2958,102958,2865,2023-05-04,Online,Amazon,Dining,3800.17,UPI,Approved,North Marissatown,2023,5,4
2959,102959,3899,2023-05-04,Online,Walmart,Groceries,3153.9,Credit Card,Approved,Hilltown,2023,5,4
2971,102971,1091,2023-05-04,Online,Amazon,Travel,3588.99,Debit Card,Approved,Christytown,2023,5,4
2985,102985,4874,2023-05-05,Online,Uber,Travel,4068.23,UPI,Approved,Ronaldville,2023,5,5
2997,102997,1085,2023-05-05,Online,Netflix,Entertainment,2807.72,PayPal,Approved,North Zacharyborough,2023,5,5
3017,103017,2929,2023-05-06,Online,Target,Groceries,3832.13,Credit Card,Approved,North Richard,2023,5,6
3021,103021,3542,2023-05-06,Online,Apple Store,Dining,4818.07,Debit Card,Approved,Port Haley,2023,5,6
3022,103022,2540,2023-05-06,Online,BestBuy,Clothing,3464.01,Credit Card,Approved,Port Adriana,2023,5,6
3033,103033,2541,2023-05-07,Online,BestBuy,Groceries,3691.96,Credit Card,Approved,Elizabethfort,2023,5,7
3038,103038,2996,2023-05-07,Online,Uber,Groceries,3230.88,Debit Card,Approved,Aliciafurt,2023,5,7
3046,103046,4014,2023-05-07,Online,Amazon,Dining,2730.86,PayPal,Approved,Jacobsville,2023,5,7
3075,103075,3988,2023-05-09,Online,Walmart,Travel,4187.02,Credit Card,Approved,Robertborough,2023,5,9
3089,103089,2660,2023-05-09,Online,Target,Electronics,2550.96,PayPal,Approved,West Lucasfurt,2023,5,9
3093,103093,1411,2023-05-09,Online,Netflix,Clothing,2845.67,Debit Card,Approved,West Lisachester,2023,5,9
3103,103103,2494,2023-05-10,Online,Amazon,Groceries,3548.51,Debit Card,Approved,West Nancy,2023,5,10
3105,103105,4189,2023-05-10,Online,Amazon,Travel,3445.8,Debit Card,Approved,South Robertshire,2023,5,10
3106,103106,1853,2023-05-10,Online,Apple Store,Electronics,2918.51,PayPal,Approved,Jessicafurt,2023,5,10
3113,103113,1576,2023-05-10,Online,Netflix,Dining,4117.45,UPI,Approved,Cartermouth,2023,5,10
3120,103120,3009,2023-05-11,Online,Amazon,Entertainment,4298.31,Debit Card,Declined,Victorshire,2023,5,11
3129,103129,1049,2023-05-11,Online,Apple Store,Groceries,2528.36,UPI,Approved,Port Alicia,2023,5,11
3130,103130,4499,2023-05-11,Online,BestBuy,Entertainment,3615.09,PayPal,Approved,North Michaelhaven,2023,5,11
3139,103139,4211,2023-05-11,Online,BestBuy,Dining,4344.38,PayPal,Approved,North Christopherfort,2023,5,11
3157,103157,4595,2023-05-12,Online,BestBuy,Travel,4015.8,UPI,Approved,Carterchester,2023,5,12
3159,103159,4734,2023-05-12,Online,Walmart,Clothing,3385.72,PayPal,Approved,Bookerhaven,2023,5,12
3165,103165,4754,2023-05-12,Online,Walmart,Travel,4606.11,UPI,Approved,Tinashire,2023,5,12
3176,103176,4961,2023-05-13,Online,BestBuy,Clothing,4352.4,UPI,Approved,Clarkland,2023,5,13
3183,103183,1124,2023-05-13,Online,Amazon,Clothing,4157.62,PayPal,Pending,Lake Warren,2023,5,13
3197,103197,3191,2023-05-14,Online,Walmart,Groceries,2637.59,Debit Card,Approved,Ryanmouth,2023,5,14
3204,103204,4303,2023-05-14,Online,Uber,Entertainment,4047.62,Debit Card,Approved,East Jackborough,2023,5,14
3215,103215,3623,2023-05-14,Online,BestBuy,Entertainment,3257.2,Debit Card,Pending,Jacksonfurt,2023,5,14
3225,103225,2814,2023-05-15,Online,Target,Dining,3924.87,Debit Card,Approved,Hallland,2023,5,15
3230,103230,2076,2023-05-15,Online,BestBuy,Travel,3038.09,Debit Card,Approved,Roberttown,2023,5,15
3231,103231,1618,2023-05-15,Online,Walmart,Clothing,3498.84,Credit Card,Approved,Port Jamesland,2023,5,15
3235,103235,1384,2023-05-15,Online,Amazon,Travel,3269.52,Debit Card,Approved,East Emilybury,2023,5,15
3241,103241,3643,2023-05-16,Online,Uber,Dining,4065.41,Credit Card,Approved,Craigside,2023,5,16
3261,103261,1510,2023-05-16,Online,Amazon,Electronics,3444.91,PayPal,Approved,Kellyport,2023,5,16
3274,103274,4915,2023-05-17,Online,Netflix,Entertainment,4318.74,Debit Card,Approved,New Brittany,2023,5,17
3282,103282,4429,2023-05-17,Online,Walmart,Electronics,4448.52,Credit Card,Approved,Santanamouth,2023,5,17
3298,103298,1189,2023-05-18,Online,Amazon,Dining,3338.48,Credit Card,Approved,Rosemouth,2023,5,18
3303,103303,4756,2023-05-18,Online,Apple Store,Clothing,3202.33,Debit Card,Approved,Rachelton,2023,5,18
3317,103317,3191,2023-05-19,Online,Apple Store,Entertainment,4732.99,Credit Card,Approved,South Jesusport,2023,5,19
3339,103339,2046,2023-05-20,Online,Amazon,Clothing,4448.81,PayPal,Approved,West Jenniferland,2023,5,20
3357,103357,2894,2023-05-20,Online,Uber,Entertainment,3637.74,UPI,Declined,Oliverview,2023,5,20
3360,103360,1785,2023-05-21,Online,Walmart,Groceries,3465.23,Credit Card,Approved,New Jesse,2023,5,21
3382,103382,3091,2023-05-21,Online,Apple Store,Clothing,2991.78,UPI,Approved,West Jonathan,2023,5,21
3386,103386,1557,2023-05-22,Online,Netflix,Groceries,3255.23,UPI,Approved,Iantown,2023,5,22
3388,103388,2582,2023-05-22,Online,Amazon,Clothing,3249.26,PayPal,Declined,South Johnport,2023,5,22
3414,103414,1474,2023-05-23,Online,Uber,Electronics,3967.55,PayPal,Approved,Sharonchester,2023,5,23
3426,103426,3327,2023-05-23,Online,BestBuy,Electronics,2755.8,Credit Card,Approved,Cathymouth,2023,5,23
3433,103433,4615,2023-05-24,Online,Netflix,Dining,3919.4,UPI,Approved,Rogersbury,2023,5,24
3434,103434,1694,2023-05-24,Online,Netflix,Entertainment,3900.51,Debit Card,Approved,Lake Pamelabury,2023,5,24
3439,103439,3205,2023-05-24,Online,Target,Electronics,4120.41,Debit Card,Approved,South Carolyntown,2023,5,24
3442,103442,2896,2023-05-24,Online,Apple Store,Groceries,2533.91,Credit Card,Approved,Katherineberg,2023,5,24
3446,103446,1639,2023-05-24,Online,Apple Store,Electronics,2571.26,Debit Card,Approved,Kingside,2023,5,24
3462,103462,1374,2023-05-25,Online,Target,Entertainment,4738.84,PayPal,Approved,Brittanychester,2023,5,25
3467,103467,1323,2023-05-25,Online,Amazon,Clothing,4944.29,PayPal,Approved,Bensonport,2023,5,25
3475,103475,3228,2023-05-25,Online,Amazon,Groceries,3945.2,Debit Card,Approved,Simmonsburgh,2023,5,25
3484,103484,2209,2023-05-26,Online,Target,Dining,3868.75,Debit Card,Approved,Barnesland,2023,5,26
3491,103491,4031,2023-05-26,Online,BestBuy,Dining,4356.92,Credit Card,Approved,South Brookechester,2023,5,26
3500,103500,3003,2023-05-26,Online,Apple Store,Groceries,4508.25,PayPal,Approved,Ericberg,2023,5,26
3504,103504,2073,2023-05-27,Online,Uber,Entertainment,4550.89,Debit Card,Approved,West Scott,2023,5,27
3522,103522,4700,2023-05-27,Online,BestBuy,Dining,4143.35,UPI,Approved,East Latashaburgh,2023,5,27
3544,103544,4049,2023-05-28,Online,Walmart,Electronics,4066.37,UPI,Approved,Hollyton,2023,5,28
3549,103549,2536,2023-05-28,Online,Netflix,Dining,4238.62,PayPal,Approved,Catherineville,2023,5,28
3560,103560,1304,2023-05-29,Online,Amazon,Clothing,3373.04,PayPal,Approved,South Tammy,2023,5,29
