Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
Fate/Extella: The Umbral Star,2016,Action,PQube,0.12,0,0.12,0.03,0.27
Ultimate Marvel vs. Capcom 3,2017,Fighting,Capcom,0.19,0,0.02,0.04,0.26
New Danganronpa V3: Minna no Koroshiai Shin Gakki,2017,Adventure,NIS America,0.09,0.05,0.07,0.03,0.25
Samurai Warriors 4,2014,Fighting,Tecmo Koei,0.08,0.07,0.06,0.03,0.25
Darksiders III,2018,Action,THQ Nordic,0.13,0.07,0,0.04,0.25
NBA Live 15,2014,Sports,Electronic Arts,0.16,0.04,0,0.04,0.25
NBA Live 18,2017,Sports,EA Sports,0.2,0,0,0.05,0.24
Tearaway Unfolded,2015,Platform,Sony Computer Entertainment,0.07,0.13,0,0.04,0.24
.hack//G.U. Last Recode,2017,Role-Playing,Namco Bandai Games,0.1,0.04,0.08,0.03,0.24
Ride,2015,Racing,Milestone S.r.l.,0.04,0.13,0.03,0.03,0.24
Just Dance 2017,2016,Misc,Ubisoft,0.08,0.12,0,0.04,0.24
The Escapists 2,2017,Action,Sold Out,0.04,0.16,0,0.04,0.24
Transformers: Devastation,2015,Action,Activision,0.11,0.09,0,0.04,0.24
Darksiders II,2015,Action-Adventure,Nordic Games,0.1,0.1,0,0.04,0.24
Jikkyou Powerful Pro Baseball 2016,2016,Sports,Konami Digital Entertainment,0,0,0.24,0,0.24
The Elder Scrolls Online: Morrowind,2017,MMO,Bethesda Softworks,0.11,0.09,0,0.04,0.24
Digimon World: Next Order,2017,Role-Playing,Namco Bandai Games,0.13,0.05,0.02,0.04,0.24
theHunter: Call of the Wild,2017,Shooter,Astragon,0.19,0,0,0.04,0.24
Tony Hawk's Pro Skater 5,2015,Sports,Activision,0.11,0.08,0,0.04,0.23
Angry Birds: Star Wars,2013,Puzzle,Activision,0.11,0.09,0,0.04,0.23
Elex,2017,Role-Playing,THQ Nordic,0.03,0.16,0,0.04,0.23
RIGS: Mechanized Combat League,2016,Action,Sony Interactive Entertainment,0.11,0.06,0.02,0.04,0.23
Transformer: Rise of the Dark Spark,2014,Shooter,Activision,0.08,0.11,0.01,0.04,0.23
Dead Island Definitive Collection,2016,Action,Deep Silver,0.09,0.08,0.03,0.03,0.23
Metal Gear Survive,2018,Action,Konami Digital Entertainment,0.08,0.06,0.05,0.03,0.23
Singstar Celebration,2017,Music,Sony Interactive Entertainment,0.04,0.15,0,0.03,0.23
Dead by Daylight,2017,Action,505 Games,0.11,0.06,0.02,0.04,0.22
Attack on Titan 2,2018,Action,Koei Tecmo,0.09,0.04,0.06,0.03,0.22
The Wolf Among Us,2014,Adventure,Telltale Games,0.11,0.07,0,0.04,0.22
Micro Machines: World Series,2017,Racing,Codemasters,0.03,0.16,0,0.03,0.22
Bladestorm: Nightmare,2015,Action,Tecmo Koei,0.11,0.04,0.03,0.03,0.22
Zombie Army Trilogy,2015,Shooter,Rebellion Developments,0.06,0.13,0,0.03,0.22
Outlast Trinity,2017,Action,Warner Bros. Interactive Entertainment,0.09,0.09,0,0.04,0.22
EVE: Valkyrie,2016,Shooter,Sony Interactive Entertainment,0.11,0.06,0,0.04,0.21
Senran Kagura: Peach Beach Splash,2017,Action,PQube,0.09,0.02,0.08,0.02,0.21
Ys VIII: Lacrimosa of Dana,2017,Role-Playing,NIS America,0.08,0.04,0.08,0.02,0.21
Bound By Flame,2014,Action,Focus Home Interactive,0.08,0.09,0,0.04,0.21
NBA Live 16,2015,Sports,EA Sports,0.13,0.05,0,0.04,0.21
7 Days to Die,2016,Action,Telltale Games,0.09,0.08,0,0.03,0.21
Dynasty Warriors 8: Empires,2014,Misc,Tecmo Koei,0.07,0.07,0.04,0.03,0.21
Dragon's Dogma,2017,Role-Playing,Capcom,0.07,0.07,0.03,0.03,0.21
Godzilla (2015),2014,Action,Namco Bandai Games,0.11,0.03,0.03,0.03,0.2
Eagle Flight,2016,Adventure,Ubisoft,0.09,0.08,0,0.03,0.2
Agents of Mayhem,2017,Action,Deep Silver,0.08,0.08,0,0.03,0.2
MotoGP 14 ,2014,Racing,Milestone S.r.l.,0.05,0.11,0,0.03,0.2
Elite: Dangerous,2017,Simulation,Frontier Developments,0.06,0.1,0,0.03,0.19
Singstar: Ultimate Party,2014,Music,Sony Computer Entertainment,0,0.16,0,0.03,0.19
Toukiden Kiwami,2015,Action,Tecmo Koei,0.06,0.07,0.03,0.03,0.19
Batman: A Telltale Game Series,2016,Adventure,Telltale Games,0.09,0.07,0,0.03,0.19
The Surge,2017,Action,Koch Media,0.07,0.08,0.01,0.03,0.19
MotoGP 15,2015,Racing,Milestone S.r.l.,0,0.13,0.04,0.02,0.18
Resident Evil: Revelations,2017,Action,Capcom,0.06,0.06,0.04,0.02,0.18
Senran Kagura: Estival Versus,2015,Action,Marvelous Interactive,0.08,0,0.09,0.02,0.18
Back to the Future: The Game,2015,Adventure,Telltale Games,0.1,0.05,0,0.03,0.18
The Walking Dead - The Telltale Series: A New Frontier,2017,Adventure,Warner Bros. Interactive Entertainment,0.11,0.04,0,0.03,0.17
Resident Evil 6,2016,Shooter,Capcom,0.1,0,0.05,0.02,0.17
Final Fantasy XIV: Heavensward,2015,MMO,Square Enix,0,0.09,0.06,0.02,0.17
Final Fantasy XIV: Stormblood,2017,MMO,Square Enix,0.05,0.06,0.04,0.02,0.17
Guilty Gear Xrd: Sign,2014,Fighting,Arc System Works,0.11,0,0.04,0.02,0.17
Prototype: Biohazard Bundle,2016,Action,Activision,0.14,0,0,0.03,0.17
BlazBlue Central Fiction,2016,Fighting,PQube,0.1,0,0.05,0.02,0.17
MXGP 3: The Official Motocross Videogame,2017,Racing,Milestone,0.06,0.08,0,0.03,0.17
Ride 2,2016,Racing,Milestone S.r.l,0.07,0.06,0.01,0.03,0.16
Dead Rising 4,2017,Action-Adventure,Capcom,0.08,0.05,0,0.03,0.16
Putty Squad,2013,Platform,System 3,0.06,0.07,0,0.03,0.16
Digimon Story: Cyber Sleuth - Hacker's Memory,2017,Role-Playing,Namco Bandai Games,0.05,0.05,0.04,0.02,0.16
Battlezone,2016,Action,Sony Interactive Entertainment,0.09,0.04,0,0.03,0.16
Naruto Shippuden: Ultimate Ninja Storm Legacy,2017,Fighting,Namco Bandai Games,0.07,0.04,0.03,0.02,0.16
Berserk and the Band of the Hawk,2016,Action,Tecmo Koei,0.07,0.02,0.05,0.02,0.16
BlazBlue: Chrono Phantasma Extend,2015,Fighting,PQube,0.08,0.04,0.02,0.02,0.16
Pillars of Eternity,2017,Role-Playing,Paradox Interactive ,0.11,0.02,0,0.03,0.16
Valkyria: Azure Revolution,2017,Role-Playing,Deep Silver,0.04,0.03,0.07,0.02,0.16
Gravity Rush Remastered,2015,Action-Adventure,Sony Computer Entertainment,0.02,0.06,0.05,0.02,0.16
Psycho-Pass: Mandatory Happiness,2016,Visual Novel,NIS America,0.1,0.02,0,0.03,0.15
Brothers: A Tale of Two Sons,2015,Adventure,505 Games,0.04,0.09,0,0.02,0.15
Warriors Orochi 3,2014,Action,Tecmo Koei,0.04,0.05,0.04,0.02,0.15
Wasteland 2,2015,Role-Playing,Deep Silver,0.1,0,0.03,0.02,0.15
Atelier Sophie: The Alchemist of the Mysterious Book,2015,Role-Playing,Tecmo Koei,0.04,0.03,0.07,0.01,0.15
NASCAR Heat Evolution,2016,Racing,Dusenberry Martin Racing,0.12,0,0,0.03,0.15
Yakuza: Ishin,2014,Adventure,Sega,0,0,0.15,0,0.15
Toukiden 2,2016,Action,Tecmo Koei,0.04,0,0.1,0.01,0.15
Song of the Deep,2016,Action,Insomniac Games,0.12,0,0,0.03,0.15
Super Robot Wars V,2017,Role-Playing,Namco Bandai Games,0,0,0.15,0,0.15
Blue Reflection: Maboroshi ni Mau - Shoujo no Ken,2017,Role-Playing,Tecmo Koei,0.07,0,0.06,0.02,0.14
Yonmegami Online: Cyber Dimension Neptune,2017,Role-Playing,Idea Factory International,0.06,0,0.07,0.01,0.14
Grand Kingdom,2015,Role-Playing,NIS America,0.08,0,0.04,0.02,0.14
Arslan: The Warriors of Legend,2016,Action,Tecmo Koei,0.03,0.04,0.06,0.01,0.14
Pro Cycling Manager 2016,2016,Sports,Focus Home Interactive,0,0.12,0,0.02,0.14
Shovel Knight,2015,Platform,Yacht Club Games,0.08,0.04,0,0.02,0.14
Adventure Time: Finn & Jake Investigations,2015,Action,Little Orbit,0.07,0.05,0,0.02,0.14
Guilty Gear Xrd -Revelator-,2016,Fighting,PQube,0.06,0,0.07,0.01,0.14
We Happy Few,2018,Action-Adventure,Gearbox Software,0.08,0.04,0,0.02,0.14
Rocksmith 2014 Edition Remastered,2016,Music,Ubisoft,0.11,0,0,0.03,0.14
The Crew: Wild Run,2015,Racing,Ubisoft,0,0.12,0,0.02,0.14
MXGP 2,2016,Racing,Milestone S.r.l.,0.05,0.06,0,0.02,0.14
MotoGP 17,2017,Racing,Koch Media,0.04,0.07,0,0.02,0.14
Fairy Fencer F: Advent Dark Force,2015,Role-Playing,Idea Factory International,0.06,0,0.06,0.01,0.14
Samurai Warriors 4-II,2015,Action,Tecmo Koei,0.04,0.02,0.07,0.01,0.13
The Golf Club,2014,Sports,Ravenscourt,0.09,0.02,0,0.02,0.13
Hatsune Miku: Project Diva X,2016,Music,Sega,0.08,0,0.04,0.02,0.13
NASCAR Heat 2,2017,Racing,505 Games,0.11,0,0,0.02,0.13
Bulletstorm: Full Clip Edition,2017,Shooter,Gearbox Software,0.05,0.06,0,0.02,0.13
Valentino Rossi: The Game,2016,Racing,Namco Bandai Games,0.05,0.05,0,0.02,0.13
Golf Club 2,2017,Sports,Maximum Games,0.05,0.06,0,0.02,0.13
Akiba's Trip 2,2014,Action,Acquire,0.09,0,0.02,0.02,0.13
Rugby 15,2015,Sports,Bigben Interactive,0.05,0.06,0,0.02,0.13
Utawarerumono: Futari no Hakuoro,2016,Visual Novel,Atlus,0.05,0,0.07,0.01,0.13
The Legend of Heroes: Trails of Cold Steel III,2017,Role-Playing,Nihon Falcom Corporation,0,0,0.13,0,0.13
Utawarerumono: Itsuwari no Kamen,2015,Adventure,Deep Silver,0.05,0,0.07,0.01,0.13
The Inpatient,2018,Action,Sony Interactive Entertainment,0.06,0.05,0,0.02,0.13
Don Bradman Cricket 14,2015,Sports,Tru Blu Entertainment,0.01,0.09,0,0.02,0.13
Sword Art Online: Hollow Fragment,2015,Role-Playing,Namco Bandai Games,0,0.11,0,0.02,0.12
Teenage Mutant Ninja Turtles: Mutants in Manhattan,2016,Action,Activision,0.07,0.03,0,0.02,0.12
Job Simulator,2017,Simulation,Sony Interactive Entertainment,0.1,0,0,0.02,0.12
Portal Knights,2017,Role-Playing,505 Games,0.02,0.05,0.03,0.01,0.12
Samurai Warriors 4: Empires,2015,Action,Tecmo Koei,0.03,0.01,0.07,0.01,0.12
Danganronpa 1o2 Reload,2017,Adventure,NIS America,0.08,0,0.02,0.02,0.12
God Eater 2: Rage Burst,2015,Role-Playing,Namco Bandai Games,0,0.01,0.11,0,0.12
America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,2017,Misc,Ubisoft,0.1,0,0,0.02,0.12
Marvel's Guardians of the Galaxy: The Telltale Series,2017,Adventure,Warner Bros. Interactive Entertainment,0.06,0.04,0,0.02,0.12
Digimon Story: Cyber Sleuth,2016,Role-Playing,Namco Bandai Games,0,0.1,0,0.02,0.11
Constructor HD,2017,Strategy,System 3,0.09,0,0,0.02,0.11
Minecraft: Story Mode - Season Two,2017,Adventure,Telltale Games,0.09,0,0,0.02,0.11
Darksiders: Warmastered Edition,2016,Action-Adventure,THQ Nordic,0.07,0.02,0,0.02,0.11
Mighty No. 9,2016,Platform,Deep Silver,0.09,0,0,0.02,0.11
The Invisible Hours,2017,Adventure,GameTrust,0.09,0,0,0.02,0.11
Monster Energy Supercross - The Official Videogame,2018,Racing,Milestone S.r.l.,0.08,0.01,0,0.02,0.11
The Idolmaster: Platinum Stars,2016,Simulation,Namco Bandai Games,0,0,0.11,0,0.11
The Witch and the Hundred Knight,2015,Role-Playing,NIS America,0.03,0.01,0.06,0.01,0.11
SD Gundam G Generation Genesis,2016,Strategy,Namco Bandai Games,0,0,0.11,0,0.11
Rime,2017,Adventure,Grey Box,0.02,0.07,0,0.02,0.11
Super Robot Wars OG: The Moon Dwellers,2016,Misc,Namco Bandai Games,0,0,0.11,0,0.11
Gundam Breaker 3,2016,Action,Namco Bandai Games,0,0,0.11,0,0.11
Earth Defense Force 2025.1: The Shadow of New Despair,2015,Shooter,D3Publisher,0,0,0.11,0,0.11
Shadow Warrior (2013),2014,Shooter,Devolver Digital,0,0.09,0,0.02,0.11
Assassin's Creed Chronicles,2016,Action,Ubisoft,0.02,0.05,0.02,0.01,0.11
Mega Man Legacy Collection,2016,Platform,Capcom,0.09,0,0,0.02,0.11
Pac-Man Championship Edition 2 + Arcade Game Series,2017,Action,Namco Bandai Games,0.08,0,0,0.02,0.1
Tokyo Xanadu eX+,2016,Role-Playing,Nihon Falcom Corporation,0.05,0,0.05,0.01,0.1
Stardew Valley,2017,Simulation,505 Games,0.04,0.04,0,0.02,0.1
Romance of the Three Kingdoms 13,2015,Action,Tecmo Koei,0.03,0,0.06,0.01,0.1
Musou Stars,2017,Action,Tecmo Koei,0.03,0,0.06,0.01,0.1
Mega Man Legacy Collection 2,2017,Action,Capcom,0.06,0,0.02,0.01,0.1
Final Fantasy XIV Online Complete Edition,2017,MMO,Square Enix,0.07,0,0.02,0.02,0.1
Devil May Cry 4,2015,Action,Capcom,0.01,0,0.09,0,0.1
Puyo Puyo Tetris,2014,Puzzle,Sega,0.05,0.03,0,0.02,0.1
Natural Doctrine,2014,Role-Playing,NIS America,0.05,0.02,0.02,0.01,0.1
Sudden Strike 4,2017,Strategy,Kalypso Media,0.05,0.03,0.01,0.02,0.1
Accel World vs. Sword Art Online: Millennium Twilight,2017,Action,Namco Bandai Games,0,0.03,0.06,0.01,0.1
Wolfenstein The Two Pack,2017,Shooter,Bethesda Softworks,0.08,0,0,0.02,0.1
Guilty Gear Xrd REV 2,2017,Fighting,PQube,0.04,0.01,0.03,0.01,0.1
Ultra Street Fighter IV,N/A,Fighting,,0,0.08,0,0.01,0.1
Let's Sing 2016,2015,Music,Ravenscourt,0.08,0,0,0.02,0.1
Resident Evil 4 HD,2016,Action-Adventure,Capcom,0.07,0,0.01,0.02,0.1
Nights of Azure 2,2017,Action,Tecmo Koei,0.04,0,0.04,0.01,0.09
The Technomancer,2016,Role-Playing,Focus Home Interactive,0.04,0.04,0,0.02,0.09
Nights of Azure,2015,Action,Tecmo Koei,0.04,0.04,0,0.02,0.09
Taiko no Tatsujin: Drum Session!,2017,Music,Namco Bandai Games,0,0,0.09,0,0.09
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,2016,Strategy,Tecmo Koei,0.03,0,0.06,0.01,0.09
Grand Ages: Medieval,2015,Strategy,Kalypso Media,0,0.05,0.03,0.01,0.09
Rugby League Live 4,2017,Sports,Tru Blu Entertainment,0,0.08,0,0.01,0.09
Toy Soldiers: War Chest,2015,Action,Ubisoft,0.07,0,0,0.02,0.09
God Eater Resurrection,2015,Action,Namco Bandai Games,0,0,0.09,0,0.09
Paragon,2016,Action,Sony Interactive Entertainment,0.07,0,0,0.02,0.09
Summon Night 6: Lost Borders,2016,Role-Playing,Gaijinworks,0.03,0,0.05,0.01,0.09
Black Rose Valkyrie,2016,Role-Playing,Idea Factory International,0.04,0,0.04,0.01,0.09
Duke Nukem 3D: 20th Anniversary World Tour,2016,Shooter,Gearbox Software,0.07,0,0,0.02,0.09
ATV Drift & Tricks,2017,Racing,Funbox Media,0.07,0,0,0.02,0.09
Yoru no Nai Kuni,2015,Role-Playing,Tecmo Koei,0,0,0.09,0,0.09
Lara Croft and the Temple of Osiris,2014,Action,Square Enix,0,0.07,0,0.01,0.09
Dragon's Dogma Online,N/A,Role-Playing,,0,0,0.09,0,0.09
Ghostbusters (2016),2016,Action,Activision,0.07,0,0,0.02,0.08
Agatha Christie's The ABC Murders,2016,Adventure,Microids,0.05,0.02,0,0.02,0.08
Shantae: Half-Genie Hero,2016,Platform,Xseed Games,0.06,0,0.01,0.01,0.08
Earth Defense Force 4.1: The Shadow of New Despair,2015,Shooter,PQube,0.05,0.02,0,0.01,0.08
The Sexy Brutale,2017,Adventure,Badland Studio,0.05,0.02,0,0.01,0.08
Legend of Kay,2015,Action,Nordic Games,0.03,0.03,0,0.01,0.08
Hasbro Family Fun Pack Conquest Edition,2016,Misc,Ubisoft,0.07,0,0,0.02,0.08
Loading Human,2016,Adventure,Maximum Games,0.05,0.02,0,0.01,0.08
Rapala Fishing Pro Series,2017,Simulation,GameMill,0.06,0,0,0.02,0.08
Atelier Firis: The Alchemist of the Mysterious Journey,2016,Role-Playing,Tecmo Koei,0.02,0,0.05,0.01,0.08
Dead Rising,2016,Action,Capcom,0.04,0,0.02,0.01,0.08
Assetto Corsa,2016,Racing,505 Games,0,0.06,0.01,0.01,0.08
Akiba's Beat,2016,Action,PQube,0.05,0,0.01,0.01,0.08
WRC 6,2016,Racing,PQube,0.03,0.02,0.01,0.01,0.08
God Wars: Future Past,2017,Role-Playing,NIS America,0.03,0.01,0.02,0.01,0.07
Resident Evil 5 HD,2016,Action,Capcom,0.05,0,0.01,0.01,0.07
The Witch and the Hundred Knights 2,2017,Role-Playing,Nippon Ichi Software,0.03,0,0.03,0.01,0.07
Samurai Warriors: Sanada Maru,2016,Action,Tecmo Koei,0.02,0,0.05,0.01,0.07
Project Setsuna,2016,Role-Playing,Square Enix,0,0,0.07,0,0.07
Has-Been Heroes,2017,Action,GameTrust,0.06,0,0,0.01,0.07
Fortune Street: Dragon Quest & Final Fantasy 30th Anniversary,2017,Misc,Square Enix,0,0,0.07,0,0.07
Styx: Shards of Darknes,2017,Action,Focus Home Interactive,0.06,0,0,0.01,0.07
Dead Rising 2,2016,Action,Capcom,0.04,0,0.02,0.01,0.07
The Book of Unwritten Tales 2,2015,Adventure,Nordic Games,0,0.06,0,0.01,0.07
Touhou Genso Rondo: Bullet Ballet,2016,Shooter,NIS America,0.06,0,0,0.01,0.07
The Walking Dead: A Telltale Series Collection,2017,Adventure,Warner Bros. Interactive Entertainment,0.06,0,0,0.01,0.07
The Silver Case,2017,Visual Novel,NIS America,0.05,0,0.01,0.01,0.07
Hunting Simulator,2017,Shooter,Bigben Interactive,0.06,0,0,0.01,0.07
WRC 7,2017,Racing,Bigben Interactive,0.06,0,0,0.01,0.07
Kamen Rider: Battride War Genesis,2016,Action,Namco Bandai Games,0,0,0.07,0,0.07
Le Tour de France 2017,2017,Simulation,Focus Home Interactive,0,0.06,0,0.01,0.07
City Shrouded in Shadow,2017,Action-Adventure,Namco Bandai Games,0,0,0.07,0,0.07
SG/ZH: School Girl/Zombie Hunter,2017,Action,Aksys Games,0.04,0,0.02,0.01,0.07
Broken Sword 5: The Serpent's Curse,2015,Adventure,Revolution Software,0,0.06,0,0.01,0.07
Terraria,2014,Action,505 Games,0,0.05,0.01,0.01,0.07
Warhammer: The End Times - Vermintide,2016,Action,Games Workshop,0.03,0.03,0,0.01,0.07
Batman: The Enemy Within,2017,Adventure,Telltale Games,0.05,0,0,0.01,0.07
Atari Flashback Classics: Volume 1,2016,Misc,Atari,0.05,0,0,0.01,0.07
Legend of Kay Anniversary,2015,Action,Nordic Games,0,0.06,0,0.01,0.07
Steins;Gate 0,2015,Adventure,PQube,0,0,0.07,0,0.07
ZombiU,2016,Action,Ubisoft,0,0.04,0.01,0.01,0.07
Risen 3: Titan Lords,2015,Role-Playing,Deep Silver,0,0.06,0,0.01,0.07
Mark McMorris Infinite Air,2016,Sports,Maximum Games,0.05,0,0,0.01,0.06
Dead or Alive Xtreme 3: Fortune,2016,Sports,Tecmo Koei,0,0,0.06,0,0.06
Birthdays the Beginning,2017,Misc,NIS America,0.05,0,0,0.01,0.06
Rugby 18,2017,Sports,Koch Media,0.05,0,0,0.01,0.06
The Binding of Isaac,2017,Misc,Nicalis,0.05,0,0,0.01,0.06
Sherlock Holmes: The Devil's Daughter,2016,Adventure,Bigben Interactive,0.05,0,0,0.01,0.06
Atelier Liddy and Soeur: Alchemists of the Mysterious Painting,2017,Role-Playing,Tecmo Koei,0.03,0,0.03,0.01,0.06
MX vs. ATV Supercross Encore,2015,Sports,Nordic Games,0,0.05,0,0.01,0.06
MX vs ATV Supercross Encore 2017 Track Edition,2017,Racing,THQ Nordic,0.05,0,0,0.01,0.06
Sword Art Online: Game Director's Edition,2015,Role-Playing,Namco Bandai Games,0,0,0.06,0,0.06
Deformers,2017,Action,Ready at Dawn,0.05,0,0,0.01,0.06
Nobunaga no Yabou: Souzou,2014,Strategy,Tecmo Koei,0,0,0.06,0,0.06
Dragon Quest X: All in One Package,2017,Role-Playing,Square Enix,0,0,0.06,0,0.06
Yomawari: Midnight Shadows,2017,Action,NIS America,0.02,0,0.04,0,0.06
Game of Thrones (Telltale),2015,Adventure,Telltale Games,0.05,0,0,0.01,0.06
Atari Flashback Classics: Volume 2,2016,Misc,Atari,0.05,0,0,0.01,0.06
Outcast: Second Contact,2017,Adventure,Maximum Games,0.05,0,0,0.01,0.06
Cartoon Network Battle Crashers,2016,Action,Maximum Games,0.05,0,0,0.01,0.06
Handball 16,2015,Sports,Bigben Interactive,0,0.05,0,0.01,0.06
Extinction,2018,Action,Maximum Games,0.05,0,0,0.01,0.06
Rugby World Cup 2015,2015,Sports,Big Ben Interactive,0,0.05,0,0.01,0.06
Exist Archive: The Other Side of the Sky,2015,Role-Playing,Aksys Games,0.02,0,0.03,0,0.06
King's Quest: The Complete Collection,2016,Adventure,Activision,0.05,0,0,0.01,0.06
Sine Mora,2017,Action,THQ Nordic,0.03,0.01,0,0.01,0.06
Aven Colony,2017,Strategy,Sold Out,0.04,0.01,0,0.01,0.06
Battle Chasers: Nightwar,2017,Role-Playing,THQ Nordic,0.03,0.02,0,0.01,0.06
WRC 5: FIA World Rally Championship,2015,Racing,Bigben Interactive,0,0.05,0,0.01,0.06
Black Mirror,2017,Adventure,THQ Nordic,0.04,0,0,0.01,0.05
Touhou Genso Wanderer,2017,Action,NIS America,0.04,0,0,0.01,0.05
Arcania: Gothic 4,2015,Role-Playing,Nordic Games,0.04,0,0,0.01,0.05
Starblood Arena VR,2017,Shooter,Sony Interactive Entertainment,0.04,0,0,0.01,0.05
Hellblade,2018,Action-Adventure,505 Games,0.03,0.01,0,0.01,0.05
Bubsy: The Woolies Strike Back,2017,Platform,Accolade,0.04,0,0,0.01,0.05
Nitroplus Blasterz: Heroines Infinite Duel,2015,Fighting,Marvelous Interactive,0.01,0.01,0.03,0,0.05
Nobunaga's Ambition: Creation,2014,Strategy,Tecmo Koei,0.04,0,0,0.01,0.05
Child of Light,2014,Role-Playing,Ubisoft,0,0.01,0.04,0,0.05
Phantasy Star Online 2 Episode 4: Deluxe Package,2017,Role-Playing,Sega,0,0,0.05,0,0.05
Saints Row: Gat out of Hell,2015,Action,Deep Silver,0,0.04,0,0.01,0.05
Werewolves Within,2016,Misc,Ubisoft,0.04,0,0,0.01,0.05
Demon Gaze 2,2017,Role-Playing,NIS America,0.04,0,0,0.01,0.05
Real Farm,2017,Simulation,Soedesco,0.04,0,0,0.01,0.05
Worms: WMD,2016,Strategy,Team17 Digital Ltd,0.02,0.02,0,0.01,0.05
Syberia III,2017,Adventure,Microids,0.04,0,0,0.01,0.05
Sengoku Basara: Sanada Yukimura-Den,2016,Action,Capcom,0,0,0.05,0,0.05
Sengoku Basara 4: Sumeragi,2015,Action,Capcom,0,0,0.05,0,0.05
Sébastien Loeb Rally Evo,2016,Racing,Milestone S.r.l,0,0.04,0,0.01,0.05
Don't Starve,2018,Adventure,505 Games,0.04,0,0,0.01,0.05
Monster Jam: Crush It,2016,Racing,GameMill,0.04,0,0,0.01,0.05
Prison Architect,2016,Simulation,Introversion Software,0.02,0.02,0,0.01,0.05
Assault Suit Leynos,2016,Shooter,Rising Star Games,0.04,0,0,0.01,0.05
Tokyo Twilight Ghost Hunters Daybreak: Special Gigs,2016,Adventure,NIS America,0.04,0,0,0.01,0.05
Overcooked,2016,Action,Sold Out,0.04,0,0,0.01,0.05
Ben 10 (2017),2017,Action,Outright Games,0.04,0,0,0.01,0.05
Dead Alliance,2017,Shooter,Maximum Games,0.04,0,0,0.01,0.04
Deer Hunter Reloaded,2017,Shooter,Maximum Games,0.04,0,0,0.01,0.04
That's You,2017,Party,Sony Interactive Entertainment,0.04,0,0,0.01,0.04
Raid: World War II,2017,Shooter,505 Games,0.04,0,0,0.01,0.04
Hyperdimension Neptunia Victory II,2015,Role-Playing,Idea Factory International,0,0,0.04,0,0.04
Zero Escape The Nonary Games,2017,Adventure,Aksys Games,0.03,0,0.01,0.01,0.04
Rugby Challenge 3,2016,Sports,Alternative Software,0,0.04,0,0.01,0.04
Vikings: Wolves of Midgard,2017,Action,Kalypso Media,0.03,0.01,0,0.01,0.04
INSIDE / LIMBO Double Pack,2017,Platform,505 Games,0.04,0,0,0.01,0.04
The Talos Principle,2015,Puzzle,Nighthawk Interactive,0,0.04,0,0.01,0.04
Megadimension Neptunia VIIR,2017,Role-Playing,Compile Heart,0.01,0,0.03,0,0.04
R.B.I. Baseball 2016,2016,Sports,MLB.com,0.04,0,0,0.01,0.04
Pure Farming 2018,2018,Simulation,Techland,0.02,0.01,0,0.01,0.04
Air Conflicts: Secret Wars,2016,Simulation,Nighthawk Interactive,0.03,0,0,0.01,0.04
Anima - Gate of Memories,2016,Action,Avanquest,0.01,0.02,0,0.01,0.04
Axiom Verge,2017,Action,Badland Studio,0.03,0,0,0.01,0.04
Unbox: Newbie's Adventure,2017,Action,Merge Games,0.03,0,0,0.01,0.04
Here They Lie,2016,Adventure,Sony Interactive Entertainment,0,0.03,0,0.01,0.04
Under Night In-Birth Exe:Latest,2017,Fighting,Arc System Works,0.01,0,0.03,0,0.04
Aragami,2016,Action,Maximum Games,0.03,0,0,0.01,0.04
Yonder: The Cloud Catcher Chronicles,2017,Action,CokeM Interactive,0.03,0,0,0.01,0.04
Assassin's Creed Chronicles: China,2015,Action-Adventure,Ubisoft,0,0.03,0,0.01,0.04
JoJo's Bizarre Adventure: Eyes of Heaven,2015,Fighting,Namco Bandai Games,0,0,0.04,0,0.04
Dungeons 3,2017,Strategy,Kalypso Media,0.03,0,0,0.01,0.04
Tour de France 2014,2014,Sports,Focus Home Interactive,0,0.03,0,0.01,0.04
Danganronpa Another Episode: Ultra Despair Girls,2017,Shooter,NIS America,0.03,0,0.01,0.01,0.04
Aegis of Earth: Protonovus Assault,2016,Action,PQube,0.03,0.01,0,0.01,0.04
Just Sing,2016,Music,Ubisoft,0.03,0,0,0.01,0.04
Wonder Boy: The Dragon's Trap (Remake),2018,Platform,Nicalis,0.03,0,0,0.01,0.04
Lumo,2016,Puzzle,Rising Star Games,0.03,0,0,0.01,0.04
ABZU,2017,Adventure,505 Games,0.03,0,0,0.01,0.04
Shadow Tactics: Blades of the Shogun,2017,Strategy,Kalypso Media,0.02,0.01,0,0.01,0.04
Darkest Dungeon,2018,Role-Playing,Merge Games,0.02,0,0.01,0.01,0.04
R.B.I. Baseball 2017,2017,Sports,MLB.com,0.03,0,0,0.01,0.04
Punch Line,2015,Adventure,5pb,0.03,0,0,0.01,0.04
VR Karts,2017,Racing,Perp Games,0.03,0,0,0.01,0.04
Resident Evil: Umbrella Corps,2016,Shooter,Capcom,0,0,0.04,0,0.04
Marvel Pinball: Epic Collection Volume 1,2016,Puzzle,Nighthawk Interactive,0.03,0,0,0.01,0.04
God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2,2015,Misc,Namco Bandai Games,0,0,0.04,0,0.04
