Voter_ID,Age,Income,Education_Level,Gender,Employment_Status,Marital_Status,Children,Own_House,City_Type,Political_Interest,Voting_History,Internet_Usage_Hours,TV_Watch_Hours,News_Following,Preferred_News_Source,Religious,Environmental_Concern,Trust_in_Government,Party_Vote
214,54,76665,PhD,Female,Retired,Widowed,2,Yes,Urban,Low,Always,2,2,Never,TV,Yes,High,Medium,NO
215,49,131953,Bachelor,Male,Student,Married,1,Yes,Suburban,Medium,Rarely,5,2,Regularly,Internet,No,Low,Medium,YES
216,26,133533,PhD,Female,Self-employed,Single,1,No,Urban,Medium,Always,1,5,Occasionally,Social Media,Yes,High,High,YES
217,36,88781,PhD,Other,Retired,Married,1,No,Rural,High,Often,6,2,Regularly,Newspaper,No,Low,Medium,NO
218,65,81262,No Formal Education,Other,Employed,Widowed,4,No,Rural,Medium,Always,3,4,Never,Internet,Yes,High,Low,YES
219,20,61600,PhD,Female,Student,Widowed,0,No,Suburban,High,Often,8,3,Regularly,TV,Yes,Medium,Low,YES
220,37,91898,PhD,Other,Self-employed,Single,4,Yes,Rural,Medium,Always,9,2,Never,Social Media,No,Low,Low,YES
221,41,45448,Master,Male,Retired,Widowed,3,Yes,Urban,Medium,Rarely,8,7,Regularly,Social Media,No,Medium,Low,YES
222,71,41172,No Formal Education,Male,Student,Divorced,5,Yes,Urban,Medium,Never,6,9,Regularly,Newspaper,No,Low,Low,YES
223,50,22657,High School,Male,Unemployed,Divorced,5,No,Suburban,Low,Always,7,2,Never,Social Media,Yes,Low,Low,NO
224,41,127855,Bachelor,Other,Student,Divorced,0,Yes,Urban,High,Always,2,5,Occasionally,Social Media,Yes,Medium,Medium,NO
225,89,22906,PhD,Male,Employed,Divorced,3,Yes,Urban,Low,Rarely,4,6,Occasionally,Social Media,Yes,Medium,Low,YES
226,53,76413,Bachelor,Other,Student,Divorced,0,No,Urban,Medium,Always,1,6,Occasionally,Social Media,No,Medium,Low,YES
227,55,69028,High School,Male,Retired,Widowed,5,No,Urban,Low,Often,9,1,Regularly,TV,Yes,Low,Low,NO
228,42,22287,Bachelor,Female,Retired,Single,4,No,Rural,High,Always,6,2,Regularly,Newspaper,Yes,Medium,Low,NO
229,35,48660,High School,Other,Student,Single,1,Yes,Urban,Medium,Always,7,9,Occasionally,Internet,No,Medium,Medium,NO
230,83,75504,Master,Other,Retired,Divorced,5,Yes,Suburban,Low,Never,8,9,Regularly,Social Media,Yes,High,High,YES
231,71,117979,PhD,Male,Unemployed,Widowed,2,No,Suburban,Low,Never,6,3,Regularly,TV,Yes,High,High,NO
232,52,49701,High School,Other,Student,Married,1,No,Urban,High,Always,9,6,Occasionally,Newspaper,No,Medium,High,NO
233,78,98300,Bachelor,Other,Unemployed,Married,5,Yes,Suburban,Low,Rarely,9,1,Never,Internet,No,Medium,High,YES
234,58,98560,PhD,Female,Unemployed,Widowed,4,No,Urban,High,Never,7,2,Regularly,Newspaper,No,Medium,Low,YES
235,50,58642,Master,Female,Self-employed,Divorced,0,Yes,Suburban,Medium,Always,8,6,Regularly,TV,No,Medium,High,NO
236,85,80160,PhD,Male,Student,Single,1,No,Suburban,Medium,Never,5,6,Regularly,TV,No,High,High,YES
237,50,32602,High School,Female,Retired,Widowed,4,No,Urban,Low,Always,9,9,Regularly,TV,No,Low,Medium,NO
238,31,118320,Master,Male,Unemployed,Married,3,No,Urban,Medium,Never,1,2,Never,Social Media,No,Medium,Medium,NO
239,38,103801,Bachelor,Male,Self-employed,Married,2,Yes,Rural,Medium,Never,1,0,Occasionally,TV,No,Medium,Medium,YES
240,65,40931,Master,Male,Student,Married,1,Yes,Urban,Low,Often,3,2,Regularly,Internet,No,High,Low,YES
241,37,109377,Master,Other,Student,Divorced,0,No,Urban,Medium,Always,8,4,Occasionally,Social Media,Yes,Medium,Low,NO
242,25,44192,No Formal Education,Female,Employed,Married,3,Yes,Rural,Low,Always,6,6,Regularly,Newspaper,No,Medium,Low,YES
243,24,61542,Master,Male,Employed,Widowed,4,No,Urban,High,Always,1,3,Never,Internet,No,High,Medium,YES
244,84,142015,Master,Female,Unemployed,Widowed,2,No,Urban,High,Always,7,0,Occasionally,Social Media,Yes,Medium,High,YES
245,34,57520,PhD,Male,Employed,Married,0,Yes,Rural,High,Never,6,5,Never,TV,No,Medium,Medium,YES
246,50,79772,Bachelor,Female,Unemployed,Widowed,4,Yes,Urban,Low,Often,8,1,Regularly,Newspaper,Yes,High,Low,YES
247,65,65106,PhD,Female,Retired,Married,4,Yes,Urban,Low,Often,7,2,Never,TV,Yes,Low,Medium,YES
248,76,96121,PhD,Male,Unemployed,Married,1,Yes,Rural,Medium,Rarely,2,3,Never,Internet,No,Medium,High,YES
249,39,40559,High School,Other,Employed,Single,1,No,Rural,Medium,Always,0,5,Regularly,Internet,Yes,Medium,Low,NO
250,47,120595,PhD,Female,Retired,Divorced,0,Yes,Suburban,Medium,Rarely,1,5,Regularly,Social Media,No,Low,High,YES
251,55,48742,No Formal Education,Other,Employed,Divorced,5,Yes,Urban,Medium,Never,1,6,Occasionally,Internet,No,High,High,NO
252,68,84669,No Formal Education,Other,Unemployed,Single,5,No,Suburban,Medium,Rarely,3,4,Regularly,Newspaper,Yes,Low,Low,YES
253,71,85831,High School,Male,Self-employed,Single,4,No,Suburban,Low,Always,5,6,Occasionally,Social Media,Yes,Medium,High,NO
254,25,127217,Bachelor,Male,Student,Divorced,1,No,Rural,Low,Often,3,1,Never,Newspaper,Yes,Low,Medium,YES
255,44,56873,Bachelor,Male,Employed,Married,2,No,Urban,High,Often,8,0,Never,TV,No,High,High,NO
256,44,121532,PhD,Female,Unemployed,Married,2,Yes,Urban,High,Always,3,9,Occasionally,Newspaper,No,Medium,High,YES
257,38,141267,PhD,Male,Retired,Divorced,4,Yes,Rural,High,Never,5,7,Regularly,Newspaper,Yes,High,High,NO
258,47,149092,PhD,Male,Employed,Married,1,No,Suburban,High,Always,5,0,Regularly,Internet,No,High,Medium,YES
259,45,56755,Bachelor,Female,Employed,Single,0,No,Rural,Low,Never,9,1,Never,TV,No,Low,High,YES
260,81,100956,Master,Female,Student,Married,0,Yes,Urban,Low,Often,9,9,Occasionally,Internet,Yes,Low,High,NO
261,86,101988,No Formal Education,Male,Unemployed,Married,0,Yes,Rural,Low,Never,0,5,Never,TV,Yes,High,Medium,NO
262,78,60648,Master,Male,Self-employed,Widowed,2,Yes,Urban,Medium,Always,7,0,Never,TV,Yes,High,Low,YES
263,65,140991,Master,Male,Retired,Widowed,1,Yes,Suburban,Medium,Always,2,9,Regularly,Newspaper,Yes,Medium,Low,NO
264,36,130005,Bachelor,Male,Unemployed,Widowed,1,Yes,Urban,High,Always,5,2,Occasionally,Internet,Yes,High,Low,NO
265,21,17396,Master,Other,Retired,Married,2,No,Suburban,Medium,Never,2,6,Never,Newspaper,Yes,High,High,YES
266,52,99082,High School,Other,Employed,Divorced,0,No,Suburban,Low,Never,1,7,Regularly,Newspaper,Yes,Low,Low,NO
267,81,143322,PhD,Male,Student,Single,0,No,Urban,High,Never,4,3,Never,Newspaper,Yes,High,Medium,YES
268,66,147663,High School,Other,Student,Married,4,No,Urban,High,Often,0,2,Never,TV,Yes,High,High,NO
269,34,26303,No Formal Education,Female,Self-employed,Divorced,5,Yes,Suburban,Medium,Rarely,8,0,Regularly,Internet,Yes,Low,High,YES
270,61,86719,PhD,Other,Student,Married,3,No,Rural,High,Rarely,6,8,Regularly,Internet,No,Medium,High,NO
271,47,114616,Master,Other,Employed,Single,5,Yes,Urban,Medium,Always,2,9,Occasionally,Newspaper,No,Low,Low,YES
272,63,139165,No Formal Education,Male,Self-employed,Married,1,Yes,Suburban,Medium,Often,3,5,Never,TV,Yes,Low,Low,YES
273,23,101231,PhD,Other,Unemployed,Single,1,Yes,Suburban,High,Never,5,5,Occasionally,Internet,No,High,Low,NO
274,54,22314,Master,Other,Student,Married,1,Yes,Rural,Medium,Always,2,8,Regularly,Social Media,No,High,High,NO
275,41,34623,High School,Other,Self-employed,Single,5,Yes,Urban,Medium,Often,6,0,Regularly,Internet,No,Medium,Medium,YES
276,63,120228,PhD,Other,Employed,Married,3,Yes,Suburban,Medium,Always,5,5,Never,Newspaper,No,High,High,YES
277,70,112624,Master,Female,Retired,Single,4,Yes,Rural,Medium,Often,8,4,Occasionally,Social Media,No,Medium,Medium,NO
278,77,126785,High School,Male,Retired,Widowed,5,No,Suburban,High,Often,4,5,Occasionally,TV,No,Medium,High,NO
279,80,101206,No Formal Education,Male,Employed,Married,3,Yes,Urban,Low,Rarely,3,7,Never,Social Media,Yes,Medium,Medium,NO
280,49,84274,No Formal Education,Female,Employed,Married,0,No,Rural,Low,Always,2,4,Never,Social Media,Yes,Medium,High,NO
281,50,148541,No Formal Education,Other,Retired,Divorced,0,No,Suburban,Medium,Never,9,1,Occasionally,Newspaper,No,High,High,NO
282,84,68947,No Formal Education,Female,Self-employed,Divorced,1,Yes,Rural,Medium,Rarely,0,1,Regularly,Internet,No,Low,Medium,NO
283,35,63874,Bachelor,Other,Retired,Single,2,Yes,Urban,Medium,Rarely,2,9,Regularly,TV,Yes,Low,Medium,YES
284,42,64708,PhD,Female,Employed,Married,1,No,Rural,Low,Never,2,4,Never,Social Media,No,High,Medium,NO
285,71,89553,PhD,Male,Student,Single,2,No,Urban,Medium,Often,6,2,Occasionally,Newspaper,No,High,Medium,NO
286,75,83344,Bachelor,Male,Unemployed,Widowed,3,No,Suburban,High,Never,6,9,Occasionally,Internet,No,Medium,Medium,NO
287,84,64138,Master,Male,Student,Divorced,0,No,Urban,High,Always,0,2,Occasionally,Social Media,No,High,Medium,NO
288,63,62638,Master,Other,Student,Single,5,Yes,Suburban,High,Never,2,7,Regularly,Newspaper,No,Low,Medium,YES
289,41,93249,No Formal Education,Other,Employed,Single,2,Yes,Suburban,Low,Often,7,6,Regularly,Newspaper,Yes,High,Medium,YES
290,49,120865,High School,Female,Retired,Divorced,3,Yes,Urban,Medium,Never,8,0,Occasionally,Newspaper,Yes,High,High,YES
291,64,17719,Master,Female,Self-employed,Married,0,No,Suburban,Medium,Often,6,4,Occasionally,TV,No,Medium,Medium,YES
292,40,57534,High School,Male,Student,Single,5,Yes,Rural,Medium,Often,6,8,Never,Internet,Yes,Medium,Medium,NO
293,83,107241,PhD,Other,Retired,Divorced,2,No,Suburban,Low,Always,7,3,Never,Social Media,No,Medium,High,YES
294,44,141209,High School,Female,Self-employed,Married,1,Yes,Urban,Low,Never,5,0,Occasionally,Internet,No,Medium,High,NO
295,19,107124,PhD,Other,Student,Widowed,1,No,Rural,Low,Never,2,7,Occasionally,Internet,No,Low,Low,NO
296,34,106659,Bachelor,Other,Self-employed,Divorced,1,Yes,Rural,Low,Always,0,4,Regularly,Social Media,No,High,Low,YES
297,50,90713,Bachelor,Male,Retired,Single,3,Yes,Suburban,High,Often,6,1,Occasionally,Internet,No,High,Medium,YES
298,26,90418,No Formal Education,Male,Unemployed,Widowed,1,No,Suburban,Low,Never,0,0,Never,TV,No,Medium,Medium,NO
299,60,143232,Master,Other,Retired,Married,4,No,Urban,Low,Always,0,2,Regularly,Social Media,No,Low,Low,YES
300,65,46575,No Formal Education,Other,Employed,Married,0,No,Rural,Low,Often,8,8,Never,Social Media,No,Low,Low,YES
301,56,78852,PhD,Other,Self-employed,Divorced,3,No,Urban,Medium,Always,9,0,Never,Newspaper,No,High,Medium,NO
302,59,147079,No Formal Education,Other,Unemployed,Divorced,5,No,Suburban,Medium,Never,6,3,Regularly,Internet,Yes,Medium,Low,NO
303,43,91242,High School,Male,Self-employed,Divorced,1,Yes,Rural,Medium,Always,3,7,Never,Social Media,No,High,Medium,NO
304,67,44257,PhD,Female,Self-employed,Married,0,No,Urban,High,Rarely,5,7,Occasionally,Social Media,Yes,High,High,NO
305,42,76246,Bachelor,Male,Student,Widowed,2,Yes,Urban,High,Often,0,9,Never,TV,Yes,Low,High,NO
306,41,16435,Master,Female,Employed,Married,1,Yes,Urban,Low,Rarely,6,7,Regularly,Newspaper,No,Low,Low,YES
307,30,106357,PhD,Other,Self-employed,Single,0,Yes,Urban,Medium,Rarely,5,9,Regularly,Social Media,Yes,High,High,NO
308,77,98807,PhD,Female,Retired,Married,4,Yes,Urban,High,Often,3,7,Regularly,TV,No,Medium,High,NO
309,24,130953,High School,Male,Retired,Single,2,Yes,Rural,Medium,Often,6,3,Never,Social Media,No,Medium,High,NO
310,74,138797,Master,Male,Student,Widowed,4,No,Urban,High,Always,2,7,Occasionally,Social Media,No,High,High,YES
311,53,78888,Bachelor,Other,Employed,Divorced,5,No,Rural,High,Often,0,8,Regularly,Social Media,No,High,Medium,NO
312,62,88609,PhD,Male,Employed,Divorced,0,Yes,Urban,Low,Rarely,3,6,Occasionally,TV,Yes,Medium,Medium,NO
313,37,24077,PhD,Other,Retired,Married,4,Yes,Suburban,Low,Rarely,2,1,Regularly,Internet,Yes,Medium,Low,YES
314,82,35953,High School,Male,Unemployed,Divorced,5,No,Suburban,High,Never,0,8,Occasionally,Social Media,No,Medium,High,NO
315,25,129682,No Formal Education,Male,Student,Widowed,0,No,Urban,Low,Often,1,7,Occasionally,Social Media,Yes,High,High,NO
316,33,82889,Bachelor,Other,Student,Divorced,0,Yes,Suburban,High,Rarely,4,4,Occasionally,Internet,Yes,Low,High,NO
317,31,130374,Master,Female,Retired,Married,4,No,Rural,High,Never,7,2,Regularly,Social Media,Yes,Medium,Low,YES
318,32,39860,PhD,Male,Retired,Widowed,0,No,Urban,Medium,Never,0,6,Never,Newspaper,No,Medium,Medium,YES
319,83,92475,PhD,Female,Unemployed,Single,1,No,Rural,Low,Always,3,1,Never,Social Media,Yes,Medium,High,NO
320,49,102266,Bachelor,Male,Unemployed,Married,0,Yes,Urban,Low,Rarely,3,2,Never,Newspaper,Yes,High,Medium,NO
321,80,115732,No Formal Education,Male,Employed,Single,3,No,Suburban,Low,Always,4,8,Occasionally,Internet,Yes,Low,Low,NO
322,68,42083,PhD,Male,Student,Widowed,5,Yes,Rural,Medium,Rarely,6,3,Regularly,TV,No,Low,Medium,YES
323,42,72372,Bachelor,Male,Student,Married,0,Yes,Suburban,Medium,Always,7,3,Occasionally,Internet,Yes,Medium,High,YES
324,75,138786,High School,Female,Retired,Married,3,Yes,Suburban,Medium,Always,5,2,Regularly,Social Media,Yes,High,Medium,YES
325,80,22813,No Formal Education,Female,Employed,Widowed,0,Yes,Urban,Low,Often,0,4,Occasionally,Newspaper,No,Low,Medium,YES
326,79,46598,Master,Male,Student,Divorced,0,Yes,Rural,Low,Always,6,2,Regularly,TV,Yes,High,Low,YES
327,39,108106,PhD,Male,Employed,Married,4,No,Suburban,Low,Often,2,8,Regularly,Social Media,No,Low,Low,YES
328,75,42082,Bachelor,Female,Employed,Married,1,Yes,Urban,Medium,Never,5,2,Regularly,TV,No,Medium,Low,NO
329,75,44241,High School,Other,Retired,Single,5,Yes,Urban,Medium,Rarely,7,1,Occasionally,TV,No,High,Low,YES
330,66,26745,Master,Other,Employed,Divorced,1,Yes,Urban,High,Never,6,4,Never,Social Media,No,Medium,Medium,NO
331,69,41029,Bachelor,Female,Unemployed,Single,2,No,Suburban,Medium,Rarely,9,5,Occasionally,Internet,No,Low,Medium,YES
332,59,138395,Bachelor,Male,Unemployed,Single,4,No,Urban,High,Never,5,0,Occasionally,Social Media,No,Low,Low,NO
333,87,104186,Master,Male,Self-employed,Divorced,4,No,Rural,Low,Rarely,8,5,Regularly,Social Media,Yes,Medium,Low,YES
334,32,112768,High School,Other,Retired,Divorced,1,No,Rural,Medium,Always,8,9,Regularly,Internet,No,Low,High,NO
335,71,56846,High School,Other,Self-employed,Widowed,4,No,Suburban,Low,Rarely,0,2,Never,Newspaper,Yes,Medium,High,NO
336,77,90932,No Formal Education,Female,Unemployed,Divorced,1,No,Rural,Low,Rarely,0,3,Never,Social Media,Yes,Medium,Low,NO
337,25,38411,PhD,Other,Self-employed,Married,4,No,Urban,Low,Never,0,5,Regularly,TV,No,Medium,Medium,YES
338,70,93797,Master,Female,Retired,Divorced,0,Yes,Suburban,Low,Never,7,7,Never,Social Media,Yes,Low,Low,YES
339,77,67307,Master,Other,Retired,Widowed,1,Yes,Urban,Medium,Never,9,8,Never,Social Media,Yes,High,Medium,YES
340,22,149165,Master,Other,Employed,Widowed,1,No,Suburban,Low,Often,6,5,Regularly,TV,Yes,Medium,Medium,NO
341,85,37042,High School,Other,Student,Widowed,3,Yes,Suburban,High,Often,2,6,Occasionally,Internet,No,High,High,NO
342,23,67930,PhD,Male,Employed,Divorced,4,Yes,Urban,Medium,Rarely,1,4,Never,Newspaper,Yes,Low,Low,NO
343,64,112883,No Formal Education,Male,Retired,Divorced,4,No,Rural,Low,Rarely,3,8,Regularly,Newspaper,Yes,Low,Low,YES
344,72,48756,Bachelor,Male,Unemployed,Single,1,Yes,Rural,Medium,Always,2,3,Never,TV,No,High,Medium,YES
345,57,68268,Bachelor,Other,Unemployed,Single,0,Yes,Suburban,High,Always,6,9,Never,Internet,Yes,Medium,Low,NO
346,69,63901,Master,Female,Employed,Married,0,No,Urban,Low,Rarely,9,5,Regularly,Social Media,Yes,Low,High,YES
347,33,114986,PhD,Female,Retired,Single,5,Yes,Urban,High,Often,7,4,Never,Social Media,Yes,Medium,High,YES
348,30,143386,High School,Female,Unemployed,Married,0,No,Suburban,Low,Rarely,5,0,Never,Social Media,No,Medium,Low,YES
349,47,20626,PhD,Female,Retired,Widowed,4,No,Rural,High,Always,2,4,Never,Social Media,Yes,High,Low,YES
350,36,27857,PhD,Male,Unemployed,Single,3,Yes,Urban,Low,Often,5,4,Occasionally,Social Media,Yes,Low,High,NO
351,34,148052,High School,Male,Retired,Divorced,1,Yes,Rural,Medium,Often,1,8,Occasionally,TV,No,High,Low,YES
352,80,41431,Master,Other,Self-employed,Single,2,Yes,Rural,Low,Always,6,0,Never,Social Media,No,Low,Medium,YES
353,36,99976,PhD,Other,Retired,Married,3,No,Suburban,Medium,Rarely,9,4,Regularly,Social Media,No,High,Low,NO
354,75,97711,Bachelor,Female,Retired,Single,2,No,Suburban,Low,Never,6,6,Never,Internet,Yes,Low,Medium,NO
355,72,41385,High School,Male,Employed,Widowed,3,No,Rural,Low,Rarely,3,5,Never,Social Media,No,Low,Low,YES
356,79,33639,No Formal Education,Female,Self-employed,Divorced,0,Yes,Urban,High,Rarely,7,5,Occasionally,Newspaper,No,Low,Low,YES
357,40,100530,Master,Other,Student,Married,4,Yes,Urban,High,Always,3,6,Occasionally,TV,No,Medium,High,YES
358,26,36563,High School,Other,Employed,Divorced,2,No,Suburban,High,Often,6,5,Occasionally,TV,Yes,Medium,Medium,YES
359,29,130672,No Formal Education,Female,Student,Divorced,3,Yes,Rural,Low,Always,3,4,Never,TV,No,High,High,NO
360,18,97970,No Formal Education,Other,Unemployed,Married,4,Yes,Urban,Low,Rarely,4,9,Never,Newspaper,No,High,Low,NO
361,75,100553,PhD,Female,Student,Divorced,2,No,Urban,Low,Never,6,4,Regularly,Social Media,No,Low,High,NO
362,18,97879,PhD,Male,Retired,Divorced,1,No,Suburban,Medium,Never,9,8,Never,TV,No,Low,Low,YES
363,51,59859,PhD,Female,Student,Single,3,Yes,Rural,Medium,Never,2,7,Never,Newspaper,No,Medium,Low,YES
364,65,67098,High School,Male,Employed,Divorced,1,No,Urban,Low,Always,9,9,Occasionally,Internet,Yes,Medium,Low,NO
365,18,137413,High School,Male,Employed,Divorced,0,Yes,Suburban,High,Often,4,3,Occasionally,Social Media,Yes,Medium,Medium,YES
366,33,15526,Master,Other,Student,Divorced,1,No,Urban,High,Always,2,3,Occasionally,Newspaper,No,High,Medium,NO
367,78,83760,PhD,Other,Employed,Divorced,1,No,Urban,High,Never,4,9,Occasionally,Social Media,No,Medium,Medium,NO
368,81,62837,No Formal Education,Other,Employed,Married,5,No,Urban,Low,Rarely,2,4,Occasionally,Internet,No,High,High,NO
369,80,26536,Bachelor,Female,Student,Widowed,3,Yes,Suburban,High,Often,9,2,Regularly,Newspaper,Yes,Medium,Low,NO
370,86,43541,Master,Female,Self-employed,Single,0,Yes,Rural,Low,Always,6,7,Regularly,Social Media,Yes,Medium,High,NO
371,39,94083,High School,Other,Self-employed,Divorced,1,No,Suburban,Medium,Always,0,6,Regularly,Newspaper,Yes,Low,High,NO
372,84,49531,Master,Female,Unemployed,Divorced,4,No,Rural,High,Often,8,4,Occasionally,TV,Yes,High,Low,NO
373,43,23712,Master,Other,Employed,Married,2,No,Urban,Medium,Often,8,9,Occasionally,Social Media,No,Medium,High,YES
374,33,119101,Master,Female,Student,Widowed,1,Yes,Rural,High,Rarely,4,2,Occasionally,Newspaper,No,Low,Low,NO
375,68,80455,Master,Male,Employed,Divorced,0,No,Urban,Low,Often,8,4,Regularly,TV,No,High,Low,NO
376,74,89744,Bachelor,Male,Retired,Married,1,No,Urban,Low,Rarely,9,2,Occasionally,Internet,No,High,Low,YES
377,46,144749,PhD,Other,Employed,Single,2,No,Suburban,Low,Never,5,9,Regularly,Social Media,Yes,Medium,Low,NO
378,86,20109,No Formal Education,Female,Employed,Single,0,No,Urban,Low,Never,4,4,Occasionally,Social Media,No,High,High,YES
379,64,64268,Master,Female,Self-employed,Divorced,3,Yes,Suburban,High,Always,2,0,Never,Internet,Yes,Low,High,NO
380,79,69615,Master,Male,Student,Divorced,0,Yes,Rural,Medium,Never,7,5,Regularly,TV,Yes,Low,High,YES
381,86,97503,Master,Male,Employed,Widowed,3,No,Rural,Low,Never,3,9,Never,Internet,No,High,Medium,YES
382,33,100708,PhD,Other,Self-employed,Widowed,0,Yes,Urban,High,Rarely,9,3,Regularly,Social Media,Yes,Low,High,YES
383,65,117471,High School,Male,Unemployed,Divorced,2,Yes,Suburban,Medium,Always,2,3,Occasionally,Newspaper,Yes,High,High,NO
384,56,98309,High School,Other,Self-employed,Married,2,Yes,Urban,Low,Often,5,7,Occasionally,TV,No,Low,Medium,YES
385,50,141446,Bachelor,Male,Self-employed,Widowed,0,No,Suburban,Medium,Always,7,1,Never,TV,Yes,High,Low,NO
386,40,121661,High School,Male,Self-employed,Divorced,1,Yes,Suburban,Low,Never,8,3,Occasionally,TV,Yes,High,Low,NO
387,27,21154,Master,Female,Employed,Widowed,2,Yes,Suburban,Medium,Often,5,1,Regularly,Internet,No,High,Low,NO
388,86,79288,Master,Male,Employed,Divorced,3,Yes,Rural,Medium,Always,4,0,Occasionally,Internet,Yes,Low,Medium,NO
389,51,66195,Master,Male,Unemployed,Single,3,No,Suburban,Low,Always,1,9,Occasionally,Newspaper,Yes,High,High,NO
390,69,35581,Bachelor,Other,Retired,Divorced,4,No,Rural,High,Always,1,2,Regularly,Newspaper,No,High,High,NO
391,27,45087,Master,Male,Retired,Single,5,Yes,Suburban,Medium,Always,8,7,Never,TV,Yes,Medium,High,NO
392,36,84298,High School,Other,Retired,Widowed,5,Yes,Rural,Low,Rarely,1,5,Never,Newspaper,No,Medium,High,YES
393,75,61167,PhD,Male,Unemployed,Divorced,5,No,Rural,Medium,Always,1,6,Occasionally,Internet,Yes,High,Medium,NO
394,18,54499,PhD,Male,Retired,Widowed,3,No,Rural,Medium,Never,2,1,Regularly,Newspaper,Yes,Medium,High,NO
395,86,140816,No Formal Education,Other,Retired,Single,4,Yes,Urban,High,Never,2,5,Never,Internet,No,High,Low,YES
396,21,111347,High School,Female,Self-employed,Divorced,5,Yes,Suburban,Medium,Rarely,3,7,Never,Newspaper,No,Medium,Medium,NO
397,33,63787,Master,Other,Employed,Widowed,5,No,Urban,Medium,Often,6,7,Occasionally,Social Media,Yes,Low,Medium,YES
398,41,50488,PhD,Other,Employed,Single,0,No,Suburban,Low,Often,8,3,Regularly,Internet,No,Low,Low,YES
399,19,89441,High School,Other,Self-employed,Widowed,0,Yes,Suburban,Low,Never,1,5,Never,Social Media,Yes,High,Low,NO
400,49,37431,PhD,Female,Self-employed,Married,0,No,Urban,High,Never,3,4,Occasionally,Internet,No,High,High,NO
401,41,76681,Master,Male,Self-employed,Single,1,Yes,Rural,Medium,Rarely,8,8,Occasionally,Newspaper,Yes,Low,Low,YES
402,29,137720,PhD,Other,Employed,Single,5,Yes,Suburban,Medium,Often,1,7,Occasionally,Social Media,Yes,Low,Medium,NO
403,67,64153,No Formal Education,Other,Retired,Single,1,Yes,Rural,Medium,Often,9,1,Occasionally,Newspaper,Yes,Medium,Medium,YES
404,52,21368,No Formal Education,Female,Self-employed,Divorced,4,No,Urban,High,Always,0,6,Never,Internet,Yes,High,Medium,YES
405,50,127360,PhD,Other,Unemployed,Divorced,3,Yes,Rural,Medium,Always,9,6,Regularly,Social Media,Yes,Low,High,NO
406,50,127755,High School,Male,Self-employed,Divorced,5,Yes,Suburban,Low,Always,7,0,Occasionally,TV,No,Low,High,YES
407,78,71985,High School,Female,Student,Married,3,No,Suburban,High,Rarely,8,0,Occasionally,Newspaper,No,High,Low,NO
408,68,65069,High School,Male,Self-employed,Married,0,No,Suburban,Low,Never,6,3,Never,Internet,Yes,Medium,High,NO
409,60,67326,PhD,Male,Employed,Single,5,Yes,Urban,Low,Rarely,7,4,Occasionally,Social Media,Yes,Medium,High,YES
410,29,123737,High School,Female,Self-employed,Married,2,Yes,Suburban,High,Often,3,3,Occasionally,Newspaper,No,Medium,Medium,YES
411,84,65861,Master,Other,Student,Widowed,1,No,Urban,Low,Never,3,6,Regularly,Social Media,No,Medium,Medium,NO
412,82,90897,No Formal Education,Male,Unemployed,Single,1,No,Rural,Medium,Always,1,2,Occasionally,Newspaper,No,Low,Low,NO
413,50,142118,Master,Male,Retired,Single,5,No,Suburban,High,Rarely,7,6,Never,Newspaper,No,High,Medium,NO
414,57,83577,High School,Male,Self-employed,Widowed,0,Yes,Suburban,Low,Rarely,1,7,Regularly,Newspaper,No,High,High,YES
415,60,24078,Master,Male,Student,Single,1,Yes,Suburban,Medium,Always,8,5,Never,Social Media,Yes,Low,Low,NO
416,61,77768,High School,Female,Student,Married,0,Yes,Rural,Medium,Rarely,3,5,Regularly,Social Media,Yes,Low,Low,YES
417,46,66047,PhD,Female,Unemployed,Divorced,4,No,Suburban,Low,Always,0,7,Regularly,Newspaper,No,Low,Medium,YES
418,30,86626,Master,Male,Employed,Widowed,3,Yes,Urban,Medium,Often,3,7,Occasionally,TV,No,High,Medium,YES
419,29,72660,PhD,Other,Self-employed,Married,2,No,Rural,High,Never,2,6,Occasionally,TV,No,High,Medium,NO
420,63,147997,PhD,Male,Student,Widowed,3,Yes,Rural,Low,Often,5,5,Occasionally,TV,No,High,Low,YES
421,19,132832,Bachelor,Other,Unemployed,Widowed,3,No,Rural,Medium,Often,6,5,Never,Internet,No,Medium,Medium,NO
422,52,145406,High School,Male,Retired,Single,4,Yes,Rural,Medium,Always,7,9,Occasionally,TV,No,Low,High,YES
423,25,140150,No Formal Education,Other,Student,Single,1,Yes,Rural,Low,Rarely,1,5,Occasionally,Social Media,No,Low,Low,NO
424,43,48320,High School,Male,Unemployed,Married,2,No,Urban,Low,Often,5,7,Regularly,TV,No,Low,Medium,NO
425,51,79881,No Formal Education,Other,Employed,Widowed,1,No,Rural,Low,Often,5,0,Occasionally,Social Media,No,High,High,YES
426,24,105827,High School,Male,Employed,Single,5,Yes,Suburban,Low,Often,9,4,Occasionally,Internet,Yes,Low,High,NO
427,85,117215,PhD,Male,Student,Single,3,No,Rural,High,Rarely,4,2,Occasionally,Social Media,No,Low,Medium,YES
428,75,149461,Master,Other,Student,Widowed,5,No,Rural,Low,Rarely,9,7,Occasionally,Social Media,No,Medium,High,YES
429,46,76550,Master,Female,Self-employed,Married,0,Yes,Rural,High,Always,9,5,Regularly,Social Media,Yes,High,Low,YES
430,53,39826,Bachelor,Other,Unemployed,Married,3,No,Rural,High,Often,6,1,Occasionally,TV,Yes,Low,Low,YES
