age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
25,student,single,secondary,no,29780,yes,yes,cellular,19,apr,1048,12,142,3,other,no
33,housemaid,divorced,primary,no,86111,yes,no,cellular,17,may,2177,4,-1,0,unknown,yes
47,unemployed,married,tertiary,no,77958,yes,yes,unknown,30,dec,1428,9,-1,0,unknown,no
23,student,married,secondary,no,53824,no,no,cellular,26,aug,3136,10,53,2,other,yes
64,management,married,tertiary,no,54685,yes,no,telephone,9,dec,3030,9,-1,0,unknown,yes
60,student,married,secondary,no,-306,yes,no,cellular,16,apr,2451,14,-1,0,unknown,no
31,entrepreneur,married,tertiary,no,66022,no,no,cellular,4,oct,3463,4,-1,0,unknown,no
48,blue-collar,married,tertiary,no,49608,no,yes,cellular,15,aug,2378,17,205,7,success,no
90,services,single,unknown,no,52020,no,no,telephone,9,jun,3382,12,-1,0,unknown,yes
53,entrepreneur,married,secondary,no,81205,yes,no,cellular,25,sep,2685,11,-1,0,unknown,yes
40,entrepreneur,married,secondary,no,94974,no,no,cellular,10,feb,2987,3,-1,0,unknown,yes
81,unemployed,single,secondary,no,90719,yes,no,cellular,12,mar,720,11,98,10,failure,yes
89,retired,married,secondary,no,89178,yes,yes,telephone,30,nov,1687,9,175,9,failure,no
35,student,single,unknown,no,36523,no,no,cellular,8,aug,3413,2,80,5,unknown,yes
46,management,married,secondary,no,17054,yes,no,cellular,20,aug,3462,15,-1,0,unknown,yes
90,management,married,tertiary,no,80215,yes,no,cellular,9,dec,3293,12,-1,0,unknown,yes
65,blue-collar,divorced,tertiary,no,44802,yes,no,cellular,27,dec,1041,18,-1,0,unknown,no
82,entrepreneur,married,primary,no,27861,no,no,cellular,18,apr,1935,9,-1,0,unknown,no
74,entrepreneur,married,primary,no,898,yes,no,cellular,12,aug,3583,5,182,2,other,no
53,housemaid,single,tertiary,yes,76346,yes,no,telephone,13,apr,2740,15,357,5,failure,no
90,self-employed,divorced,primary,no,87302,no,no,unknown,2,dec,3120,12,-1,0,unknown,yes
27,housemaid,single,secondary,no,23509,yes,no,telephone,6,mar,150,16,-1,0,unknown,no
60,technician,single,secondary,no,87830,yes,no,cellular,5,jun,779,4,91,7,other,yes
41,retired,married,secondary,no,80969,yes,no,cellular,9,jan,2512,2,-1,0,unknown,no
65,technician,single,unknown,no,-1390,yes,no,telephone,19,oct,1565,3,-1,0,unknown,no
42,unemployed,married,secondary,no,43252,yes,no,cellular,12,oct,754,15,-1,0,unknown,yes
40,self-employed,single,tertiary,no,3082,no,no,telephone,4,may,1223,4,93,10,success,yes
81,management,married,unknown,no,57594,no,no,cellular,15,feb,2769,18,127,6,failure,yes
80,management,married,primary,no,60970,no,no,telephone,27,oct,434,17,336,6,other,yes
86,self-employed,married,secondary,no,39984,yes,no,cellular,21,jul,1685,14,-1,0,unknown,yes
80,technician,married,secondary,no,63223,no,no,telephone,23,jan,2190,2,46,5,other,yes
87,services,married,tertiary,no,4187,no,no,cellular,18,jan,3404,14,-1,0,unknown,no
85,services,married,tertiary,no,26114,yes,no,telephone,23,jun,328,7,-1,0,unknown,yes
19,admin.,divorced,secondary,no,36068,yes,no,telephone,27,jun,755,13,-1,0,unknown,yes
69,admin.,single,secondary,no,31840,no,no,cellular,28,nov,1298,7,-1,0,unknown,yes
52,student,married,secondary,no,34449,no,no,telephone,9,oct,72,13,230,3,success,yes
32,technician,single,tertiary,no,68377,yes,no,cellular,22,dec,2876,13,147,5,other,yes
33,student,married,tertiary,no,70712,no,no,cellular,2,aug,1991,4,20,7,failure,yes
26,management,married,secondary,no,55936,no,yes,telephone,25,apr,3177,7,-1,0,unknown,no
19,services,married,unknown,no,43890,yes,no,cellular,13,mar,1225,17,95,4,failure,yes
21,entrepreneur,single,secondary,no,70987,yes,no,cellular,4,nov,296,14,-1,0,unknown,no
20,housemaid,married,tertiary,no,3037,yes,yes,cellular,13,jan,2334,2,-1,0,unknown,no
90,technician,married,tertiary,no,69510,yes,no,telephone,30,oct,2671,13,316,7,failure,yes
80,housemaid,single,unknown,no,60800,no,yes,cellular,12,apr,621,10,-1,0,unknown,no
67,retired,divorced,secondary,yes,37302,yes,no,telephone,18,apr,1677,5,-1,0,unknown,no
63,management,divorced,secondary,no,94134,yes,no,cellular,11,jun,2755,13,272,4,failure,yes
90,management,divorced,tertiary,no,45633,no,no,telephone,14,jun,2667,10,73,8,failure,yes
56,housemaid,married,secondary,no,18541,no,no,cellular,31,aug,127,7,-1,0,unknown,yes
52,unemployed,married,primary,no,23927,yes,no,cellular,24,mar,3153,16,314,9,success,yes
30,technician,single,primary,no,4914,yes,yes,telephone,12,apr,3075,5,-1,0,unknown,no
57,technician,married,tertiary,no,56538,yes,no,cellular,4,sep,684,5,61,9,other,yes
89,self-employed,married,tertiary,no,30688,no,no,cellular,15,feb,3125,2,196,8,failure,no
20,housemaid,married,tertiary,no,74662,yes,no,cellular,16,nov,2351,12,-1,0,unknown,yes
65,technician,single,secondary,no,17593,yes,no,unknown,7,nov,1343,10,-1,0,unknown,yes
28,blue-collar,married,tertiary,yes,75374,yes,no,telephone,7,sep,1177,17,-1,0,unknown,no
21,entrepreneur,married,primary,no,89817,yes,no,cellular,2,may,3101,15,-1,0,unknown,yes
22,services,married,tertiary,yes,73189,yes,no,telephone,13,jul,177,9,-1,0,unknown,no
60,blue-collar,married,tertiary,no,51371,no,yes,cellular,9,sep,820,16,43,8,other,no
58,self-employed,divorced,primary,no,97885,yes,yes,cellular,5,oct,3312,8,-1,0,unknown,yes
19,admin.,married,secondary,no,7225,yes,no,telephone,15,nov,1385,4,-1,0,unknown,no
35,management,divorced,tertiary,no,92143,no,yes,telephone,8,apr,234,3,-1,0,unknown,no
85,management,married,secondary,no,77358,no,no,telephone,19,jan,1842,6,-1,0,unknown,no
43,retired,single,secondary,no,89746,yes,no,cellular,28,jun,3127,8,326,10,failure,yes
54,management,married,tertiary,no,67540,yes,no,cellular,10,mar,294,2,177,1,success,yes
28,unemployed,married,tertiary,yes,95552,no,no,telephone,30,jun,2889,20,-1,0,unknown,no
26,housemaid,single,tertiary,no,95280,no,no,cellular,16,jun,2266,7,88,1,success,yes
77,blue-collar,divorced,tertiary,no,58768,no,no,cellular,24,jul,1748,1,-1,0,unknown,yes
66,unemployed,single,secondary,no,84739,no,yes,telephone,7,feb,97,13,-1,0,unknown,no
52,blue-collar,single,secondary,no,70001,yes,no,cellular,16,jul,1812,6,-1,0,unknown,yes
63,technician,single,secondary,no,35921,yes,no,cellular,7,jul,2039,1,-1,0,unknown,yes
61,unemployed,married,secondary,no,76527,yes,no,telephone,26,dec,3569,5,-1,0,unknown,yes
26,admin.,married,secondary,no,40755,no,no,telephone,21,aug,3252,9,-1,0,unknown,yes
60,management,divorced,unknown,no,73009,no,no,cellular,8,apr,2031,19,-1,0,unknown,no
83,technician,married,primary,no,67367,yes,no,telephone,31,dec,1119,3,-1,0,unknown,yes
53,services,married,tertiary,no,27272,no,no,telephone,16,sep,628,9,-1,0,unknown,yes
58,housemaid,divorced,secondary,no,22667,no,no,cellular,24,jan,3042,7,-1,0,unknown,yes
49,student,married,tertiary,yes,32208,yes,no,cellular,21,jul,352,12,-1,0,unknown,no
36,entrepreneur,married,secondary,no,97413,yes,no,cellular,7,dec,2514,15,301,3,failure,no
24,blue-collar,married,secondary,no,92437,yes,yes,cellular,11,jul,759,11,-1,0,unknown,no
22,unemployed,single,secondary,no,65070,yes,no,cellular,3,feb,603,5,84,4,unknown,yes
63,blue-collar,single,secondary,no,50502,yes,no,cellular,13,dec,664,18,-1,0,unknown,yes
75,services,single,tertiary,no,29360,yes,no,cellular,21,dec,953,16,113,4,other,yes
35,self-employed,married,secondary,no,49879,yes,no,cellular,22,dec,2885,14,-1,0,unknown,no
22,management,single,secondary,no,8567,no,no,telephone,6,jul,901,5,-1,0,unknown,yes
54,retired,married,secondary,no,24422,no,no,cellular,29,may,1638,4,-1,0,unknown,yes
75,housemaid,divorced,tertiary,no,24816,yes,yes,telephone,24,apr,849,19,-1,0,unknown,no
56,unemployed,single,secondary,no,58788,yes,no,cellular,29,may,918,17,7,4,other,yes
44,entrepreneur,divorced,secondary,no,49216,no,no,cellular,18,oct,1198,8,55,1,other,yes
19,retired,divorced,secondary,no,72463,no,yes,cellular,21,apr,1763,12,214,1,failure,no
33,retired,single,secondary,no,24825,yes,no,unknown,26,jan,1981,6,45,4,success,yes
89,retired,single,tertiary,no,93870,no,no,cellular,13,jan,182,16,-1,0,unknown,no
77,student,single,primary,no,84063,yes,no,cellular,10,dec,1992,7,-1,0,unknown,no
52,management,single,secondary,yes,83220,yes,no,telephone,18,dec,2031,8,-1,0,unknown,no
24,retired,married,secondary,no,59928,yes,no,telephone,24,sep,2244,5,328,6,failure,yes
65,entrepreneur,divorced,tertiary,no,86166,no,no,cellular,12,jul,384,20,71,6,other,yes
75,self-employed,married,primary,no,64368,no,no,cellular,11,sep,2621,6,-1,0,unknown,yes
44,student,single,secondary,no,63717,yes,no,cellular,9,sep,2752,6,-1,0,unknown,yes
60,entrepreneur,single,tertiary,no,69886,no,no,telephone,8,oct,1468,14,-1,0,unknown,yes
46,unemployed,married,primary,no,96739,yes,yes,telephone,17,feb,2058,5,-1,0,unknown,yes
57,management,married,secondary,no,81656,yes,no,cellular,1,may,525,7,349,2,unknown,yes
33,student,divorced,tertiary,yes,76323,yes,no,cellular,14,oct,2445,16,-1,0,unknown,no
23,unemployed,married,primary,no,2068,yes,no,telephone,25,sep,3183,4,-1,0,unknown,no
62,unemployed,married,primary,no,61890,no,yes,cellular,3,feb,1035,4,-1,0,unknown,yes
48,housemaid,divorced,primary,no,99864,no,no,cellular,4,jan,2830,5,-1,0,unknown,yes
21,self-employed,married,secondary,no,89374,yes,no,cellular,24,jan,1067,19,265,8,failure,yes
38,admin.,single,secondary,no,18289,no,yes,cellular,8,jan,1616,6,-1,0,unknown,no
41,management,married,tertiary,no,27980,no,no,telephone,4,feb,703,5,310,10,unknown,yes
73,admin.,married,tertiary,no,69235,yes,no,cellular,18,dec,1759,3,135,6,success,yes
49,services,single,primary,no,85115,yes,no,cellular,18,may,1987,3,-1,0,unknown,yes
70,technician,married,secondary,no,15460,no,no,cellular,17,jan,491,17,-1,0,unknown,yes
19,retired,divorced,primary,no,60965,no,no,cellular,16,apr,435,6,-1,0,unknown,yes
87,technician,single,primary,no,97682,yes,no,unknown,19,mar,1041,14,-1,0,unknown,yes
46,retired,married,tertiary,no,40006,no,yes,cellular,30,jun,1630,15,-1,0,unknown,yes
34,entrepreneur,married,tertiary,no,82677,no,no,cellular,17,may,2066,3,-1,0,unknown,no
26,self-employed,single,tertiary,no,82069,yes,no,cellular,21,jun,1273,18,-1,0,unknown,yes
78,self-employed,married,tertiary,no,75274,no,no,cellular,22,oct,592,16,355,8,other,yes
26,retired,married,tertiary,no,75913,yes,no,telephone,30,apr,2348,7,157,4,other,yes
70,retired,single,secondary,no,98704,no,no,telephone,23,may,808,12,-1,0,unknown,yes
44,entrepreneur,married,primary,no,36202,no,no,telephone,27,jun,779,16,-1,0,unknown,yes
52,housemaid,married,secondary,no,7443,yes,no,telephone,13,jan,302,7,-1,0,unknown,yes
81,entrepreneur,divorced,secondary,no,64993,yes,no,cellular,14,nov,2035,20,224,7,failure,no
33,blue-collar,married,unknown,no,7211,yes,no,cellular,26,feb,3073,14,339,10,unknown,no
53,retired,married,secondary,no,72791,no,no,cellular,8,mar,124,18,-1,0,unknown,no
46,services,married,tertiary,no,78779,yes,no,cellular,20,may,3345,16,127,7,failure,yes
39,services,divorced,secondary,yes,85970,yes,no,cellular,13,aug,904,8,42,7,success,yes
67,housemaid,married,primary,no,24886,no,no,telephone,17,jun,1349,1,-1,0,unknown,yes
74,housemaid,single,primary,no,89610,no,no,cellular,7,jun,1476,13,149,4,failure,yes
21,unemployed,divorced,secondary,no,57276,no,yes,cellular,12,jul,113,16,-1,0,unknown,no
75,student,single,secondary,no,46050,no,no,cellular,8,oct,2671,17,-1,0,unknown,yes
22,student,married,tertiary,no,18808,yes,no,cellular,3,sep,1075,15,73,7,failure,yes
47,student,married,secondary,no,10094,no,no,telephone,28,dec,750,10,-1,0,unknown,yes
39,management,single,unknown,no,8098,yes,yes,telephone,6,sep,538,15,-1,0,unknown,no
65,services,single,tertiary,no,-854,yes,no,cellular,27,jan,2081,17,-1,0,unknown,no
68,services,single,secondary,no,29709,no,no,cellular,9,aug,1036,15,57,4,failure,yes
23,technician,divorced,primary,no,67323,no,no,cellular,18,dec,1684,17,-1,0,unknown,yes
84,blue-collar,married,secondary,no,51110,no,no,cellular,17,aug,547,2,308,6,other,no
70,student,married,secondary,no,24044,no,no,telephone,25,mar,1872,19,-1,0,unknown,yes
56,student,single,primary,no,55544,yes,no,telephone,12,apr,1927,5,-1,0,unknown,no
36,unemployed,divorced,secondary,no,58960,no,no,telephone,3,oct,1234,12,-1,0,unknown,yes
23,entrepreneur,single,secondary,no,64416,yes,no,cellular,23,sep,1134,2,112,9,failure,yes
60,housemaid,married,secondary,no,4673,no,no,telephone,25,aug,1805,17,281,10,success,yes
37,student,married,tertiary,no,81257,yes,yes,telephone,3,oct,1602,9,-1,0,unknown,no
23,admin.,married,unknown,no,72618,yes,no,telephone,14,sep,2357,9,-1,0,unknown,yes
26,services,married,secondary,no,6662,yes,no,cellular,22,aug,497,3,-1,0,unknown,yes
61,housemaid,married,secondary,no,31827,yes,no,telephone,24,jun,2616,11,-1,0,unknown,yes
84,unemployed,single,secondary,no,27648,no,no,cellular,31,sep,1261,16,-1,0,unknown,yes
24,housemaid,married,tertiary,no,17394,yes,no,cellular,31,apr,1931,5,-1,0,unknown,yes
82,blue-collar,married,secondary,no,37201,yes,no,cellular,30,nov,301,11,-1,0,unknown,no
69,student,single,secondary,no,46546,yes,no,telephone,16,jul,2440,7,-1,0,unknown,yes
54,management,married,primary,no,40879,no,no,cellular,3,dec,64,5,-1,0,unknown,yes
29,unemployed,single,primary,no,2284,yes,no,cellular,22,dec,1493,19,85,5,failure,no
22,housemaid,single,primary,yes,23198,no,no,telephone,16,feb,1124,19,270,2,other,no
54,services,single,secondary,no,82340,no,no,cellular,8,dec,1192,2,-1,0,unknown,yes
38,entrepreneur,married,secondary,no,36489,no,no,cellular,30,apr,3283,10,-1,0,unknown,yes
77,services,married,primary,no,13429,yes,no,cellular,24,feb,1187,11,-1,0,unknown,yes
79,student,married,tertiary,no,86033,yes,no,telephone,7,aug,2717,2,-1,0,unknown,yes
62,technician,single,tertiary,no,49060,yes,no,cellular,13,dec,3563,11,-1,0,unknown,yes
72,unemployed,married,tertiary,no,89731,yes,no,cellular,9,jul,411,16,-1,0,unknown,yes
23,services,single,secondary,no,24510,no,no,telephone,21,jun,2943,11,-1,0,unknown,yes
18,technician,married,tertiary,no,25664,yes,no,telephone,24,sep,1150,17,-1,0,unknown,yes
43,student,married,tertiary,no,92254,no,no,unknown,15,jan,1195,11,302,2,success,yes
77,housemaid,married,tertiary,no,27215,yes,no,cellular,2,apr,2767,19,136,1,success,no
75,management,married,secondary,no,33865,yes,no,telephone,1,sep,3587,10,-1,0,unknown,yes
81,housemaid,single,tertiary,no,13187,no,no,cellular,24,jun,755,18,-1,0,unknown,no
72,technician,married,secondary,no,11036,yes,no,cellular,22,may,2781,9,-1,0,unknown,yes
44,services,married,tertiary,no,69082,no,no,cellular,5,feb,3524,1,-1,0,unknown,no
52,services,single,secondary,no,98401,no,no,cellular,16,nov,2546,9,-1,0,unknown,yes
29,blue-collar,single,tertiary,no,30804,no,no,cellular,26,feb,289,6,83,9,other,yes
79,unemployed,married,secondary,no,97189,yes,no,telephone,13,apr,716,7,-1,0,unknown,yes
26,management,married,tertiary,no,71067,no,no,cellular,7,jan,179,15,293,6,unknown,no
65,unemployed,married,tertiary,yes,39309,no,yes,telephone,20,sep,2329,4,-1,0,unknown,no
78,entrepreneur,married,secondary,no,13696,no,yes,telephone,11,apr,1308,18,-1,0,unknown,yes
31,admin.,divorced,tertiary,no,89213,yes,no,cellular,11,jul,334,17,-1,0,unknown,yes
56,student,single,unknown,no,91297,yes,yes,cellular,20,feb,1514,4,136,6,failure,no
45,housemaid,married,secondary,no,97697,yes,no,telephone,26,dec,2278,19,-1,0,unknown,yes
88,unemployed,single,tertiary,no,3339,yes,no,cellular,11,may,3065,2,49,10,unknown,no
79,admin.,married,secondary,no,32640,yes,no,telephone,8,feb,1398,6,292,2,success,no
45,services,single,unknown,no,64805,yes,no,cellular,29,may,2392,7,-1,0,unknown,yes
73,management,married,secondary,no,36365,yes,no,cellular,30,oct,1208,9,64,7,failure,yes
18,technician,married,secondary,no,14802,yes,no,cellular,31,nov,1049,5,-1,0,unknown,yes
49,admin.,married,tertiary,no,26591,yes,yes,cellular,7,dec,483,1,-1,0,unknown,yes
75,services,single,secondary,no,46333,yes,no,cellular,22,may,1846,7,-1,0,unknown,no
67,blue-collar,single,tertiary,no,29820,yes,no,cellular,9,jan,1804,15,31,8,success,yes
32,retired,single,secondary,no,-196,yes,no,cellular,15,jun,1271,8,-1,0,unknown,no
53,entrepreneur,divorced,secondary,no,55426,no,yes,cellular,16,jul,926,18,-1,0,unknown,yes
32,retired,married,secondary,no,33626,no,no,cellular,13,jan,287,19,-1,0,unknown,no
31,management,divorced,secondary,no,85614,no,no,cellular,30,sep,779,16,-1,0,unknown,no
20,blue-collar,married,tertiary,no,42734,yes,no,cellular,10,dec,3160,14,140,10,failure,yes
90,housemaid,married,secondary,no,30097,yes,no,cellular,25,apr,2211,11,-1,0,unknown,yes
89,admin.,married,primary,no,28317,yes,yes,cellular,18,dec,327,4,-1,0,unknown,yes
74,services,single,secondary,no,2799,yes,no,cellular,9,nov,2441,15,-1,0,unknown,no
29,blue-collar,divorced,secondary,no,30809,no,no,cellular,25,apr,210,16,-1,0,unknown,no
87,services,married,tertiary,yes,62166,no,no,cellular,11,feb,393,17,-1,0,unknown,no
53,admin.,married,secondary,no,57291,yes,no,telephone,21,oct,117,9,81,4,success,yes
43,management,single,secondary,no,56912,yes,yes,cellular,30,dec,866,12,-1,0,unknown,no
56,unemployed,married,tertiary,no,18849,yes,yes,cellular,18,mar,2833,14,81,4,unknown,no
71,technician,married,tertiary,no,91545,yes,no,cellular,31,oct,2428,11,-1,0,unknown,no
86,unemployed,married,unknown,no,78078,no,no,cellular,20,apr,3034,1,152,7,other,yes
29,housemaid,single,tertiary,no,28112,no,no,telephone,18,aug,1646,19,-1,0,unknown,yes
24,self-employed,single,tertiary,no,29520,no,no,cellular,29,feb,1019,18,-1,0,unknown,yes
86,technician,single,secondary,no,21371,yes,no,telephone,5,apr,2892,3,-1,0,unknown,yes
27,student,married,secondary,no,40184,yes,no,unknown,11,jan,165,1,-1,0,unknown,no
21,admin.,single,primary,no,81498,no,yes,cellular,31,feb,1828,18,-1,0,unknown,no
21,services,divorced,secondary,no,64062,no,no,cellular,3,sep,3359,5,-1,0,unknown,yes
79,retired,married,tertiary,no,21032,no,no,cellular,2,jun,1584,16,223,8,unknown,yes
18,unemployed,single,secondary,no,42759,yes,no,cellular,5,jul,1577,19,212,3,other,yes
59,blue-collar,married,secondary,no,73605,yes,yes,telephone,21,aug,247,14,211,10,other,no
89,entrepreneur,married,tertiary,yes,79841,no,no,telephone,17,mar,545,3,25,2,other,no
50,self-employed,single,secondary,no,-1349,yes,no,unknown,21,mar,2272,16,-1,0,unknown,no
49,self-employed,single,tertiary,no,82900,yes,no,cellular,3,mar,2883,13,-1,0,unknown,yes
39,self-employed,married,tertiary,no,51430,yes,yes,telephone,25,dec,564,12,-1,0,unknown,no
85,student,single,secondary,no,8769,yes,yes,cellular,31,nov,1626,6,-1,0,unknown,yes
55,admin.,single,tertiary,no,46371,yes,no,cellular,31,dec,125,3,-1,0,unknown,no
57,student,married,tertiary,no,67514,yes,no,telephone,24,feb,1538,8,-1,0,unknown,yes
40,retired,married,unknown,no,89382,yes,no,cellular,22,nov,265,10,111,4,other,no
63,management,married,secondary,no,90914,yes,no,telephone,26,feb,398,4,-1,0,unknown,yes
77,technician,married,secondary,no,75767,yes,no,cellular,5,jul,2667,11,-1,0,unknown,no
70,admin.,married,unknown,no,78199,no,no,unknown,13,feb,1921,17,-1,0,unknown,yes
85,admin.,single,secondary,no,1853,no,no,cellular,18,mar,3460,20,-1,0,unknown,no
19,management,married,secondary,no,63188,yes,no,unknown,4,dec,1731,1,-1,0,unknown,yes
68,blue-collar,married,secondary,no,7994,yes,yes,cellular,17,nov,3191,19,277,5,failure,no
68,self-employed,married,tertiary,no,97158,no,no,telephone,6,apr,2514,20,-1,0,unknown,no
75,retired,married,secondary,no,2781,no,no,cellular,17,sep,1698,2,-1,0,unknown,yes
61,management,married,secondary,no,95485,yes,no,cellular,5,jul,3226,1,-1,0,unknown,yes
25,self-employed,divorced,secondary,no,77616,yes,no,cellular,5,nov,1896,3,109,2,other,yes
50,blue-collar,married,tertiary,no,22039,yes,yes,cellular,16,jul,3155,18,-1,0,unknown,no
36,housemaid,single,secondary,no,96259,no,yes,cellular,18,jan,3281,17,-1,0,unknown,yes
61,retired,single,tertiary,no,94555,no,yes,cellular,8,nov,1563,20,-1,0,unknown,no
65,entrepreneur,married,primary,no,64505,yes,no,telephone,26,may,1200,19,9,8,other,yes
39,student,married,tertiary,no,80046,yes,no,telephone,28,nov,1244,18,-1,0,unknown,yes
76,technician,divorced,secondary,no,45996,yes,no,cellular,5,jun,2345,4,257,5,success,yes
42,services,divorced,primary,no,27232,yes,yes,unknown,13,oct,2323,2,-1,0,unknown,yes
89,entrepreneur,single,secondary,no,52749,no,yes,cellular,24,apr,1297,18,-1,0,unknown,yes
84,housemaid,single,tertiary,no,45422,no,no,cellular,22,sep,3130,1,-1,0,unknown,yes
18,blue-collar,divorced,tertiary,no,16672,no,no,cellular,1,sep,3325,5,-1,0,unknown,yes
87,unemployed,single,tertiary,no,70170,yes,no,cellular,3,apr,91,18,-1,0,unknown,no
72,technician,married,tertiary,no,22941,no,no,cellular,30,feb,1061,7,-1,0,unknown,yes
37,management,married,tertiary,no,33638,no,yes,cellular,31,mar,1989,8,342,9,failure,yes
67,technician,divorced,primary,no,48749,yes,yes,cellular,27,oct,1401,1,34,7,success,yes
53,technician,single,secondary,no,40125,yes,no,cellular,21,sep,832,19,-1,0,unknown,yes
36,admin.,married,secondary,no,204,no,no,cellular,13,mar,268,15,-1,0,unknown,no
69,student,married,secondary,no,70805,no,no,cellular,21,aug,1604,2,-1,0,unknown,yes
26,retired,single,tertiary,no,32445,yes,no,cellular,8,feb,573,11,-1,0,unknown,yes
43,blue-collar,divorced,secondary,no,8374,yes,no,unknown,30,mar,2807,4,84,1,failure,yes
72,management,married,unknown,no,59306,yes,no,cellular,4,apr,923,15,342,9,failure,yes
24,services,married,secondary,no,49850,yes,yes,telephone,14,may,1196,2,105,5,other,yes
86,technician,divorced,tertiary,no,63491,no,no,cellular,1,mar,2647,3,-1,0,unknown,yes
86,services,single,secondary,no,53032,yes,no,telephone,16,dec,2843,20,-1,0,unknown,yes
47,self-employed,single,primary,no,69239,no,no,cellular,8,oct,3103,15,-1,0,unknown,no
87,unemployed,married,tertiary,no,57450,yes,yes,telephone,16,apr,1689,17,-1,0,unknown,no
36,admin.,married,primary,no,9056,no,no,cellular,12,jun,2790,6,202,6,unknown,yes
75,technician,married,secondary,no,7550,yes,no,cellular,19,mar,1370,19,-1,0,unknown,yes
23,self-employed,married,tertiary,no,54355,no,no,telephone,28,jan,678,5,-1,0,unknown,no
60,admin.,divorced,tertiary,no,69078,yes,no,telephone,9,sep,1225,5,311,6,other,yes
88,unemployed,single,primary,no,80059,yes,no,telephone,30,jan,2877,15,92,4,other,yes
67,entrepreneur,single,tertiary,no,1436,no,no,cellular,3,oct,290,15,-1,0,unknown,no
86,entrepreneur,married,primary,no,55208,yes,no,cellular,27,mar,1341,17,-1,0,unknown,yes
22,unemployed,married,tertiary,yes,82351,yes,no,cellular,2,dec,1133,1,-1,0,unknown,no
64,student,married,secondary,no,72605,yes,no,cellular,29,sep,750,11,-1,0,unknown,yes
41,self-employed,married,secondary,no,44271,no,no,cellular,8,nov,575,18,-1,0,unknown,yes
68,management,married,secondary,no,73051,no,no,cellular,3,nov,2817,11,173,8,failure,yes
67,services,divorced,primary,no,27052,no,no,cellular,26,nov,1545,4,259,2,success,yes
64,admin.,divorced,secondary,no,48630,no,no,cellular,11,aug,3196,10,-1,0,unknown,yes
42,retired,married,primary,no,65149,no,yes,telephone,30,aug,2483,16,102,9,other,yes
48,retired,married,primary,no,49711,yes,no,cellular,11,jun,858,4,89,6,success,yes
71,entrepreneur,married,unknown,no,53869,yes,no,cellular,20,may,3497,5,-1,0,unknown,yes
31,retired,divorced,tertiary,no,44381,yes,no,cellular,4,dec,2453,17,-1,0,unknown,no
34,entrepreneur,single,secondary,no,65404,yes,no,cellular,6,mar,1385,18,-1,0,unknown,yes
72,student,single,secondary,no,64380,yes,no,cellular,9,may,3563,6,362,6,success,yes
53,self-employed,married,tertiary,no,45672,no,no,telephone,20,may,758,17,315,2,other,yes
72,blue-collar,single,tertiary,yes,3164,yes,no,cellular,8,oct,2681,8,122,3,success,no
32,blue-collar,married,primary,yes,42555,yes,no,cellular,14,sep,3053,6,-1,0,unknown,no
54,retired,single,secondary,no,48570,no,no,cellular,16,dec,939,14,-1,0,unknown,yes
74,retired,married,primary,yes,46010,no,no,telephone,30,jun,1209,7,-1,0,unknown,no
26,self-employed,single,tertiary,no,11875,no,no,cellular,7,oct,616,1,-1,0,unknown,yes
25,student,married,tertiary,no,52443,yes,no,telephone,15,jun,129,18,242,7,success,no
76,services,married,tertiary,no,40054,yes,no,cellular,9,aug,585,13,293,1,failure,yes
83,unemployed,married,secondary,no,29600,no,no,cellular,6,dec,1830,4,-1,0,unknown,no
76,unemployed,single,secondary,no,26478,no,no,unknown,31,jan,1364,6,296,10,other,yes
70,services,divorced,tertiary,no,84146,no,yes,cellular,18,sep,619,8,-1,0,unknown,yes
64,management,married,tertiary,no,39969,yes,no,cellular,16,dec,2670,15,-1,0,unknown,yes
46,services,married,secondary,no,72847,yes,no,cellular,31,aug,2533,4,229,10,other,yes
74,admin.,single,primary,no,5266,yes,no,cellular,25,sep,2068,4,363,6,failure,yes
84,management,single,primary,no,10917,yes,no,telephone,24,jan,2274,7,23,5,other,yes
77,self-employed,married,tertiary,no,87600,yes,no,telephone,12,nov,2136,12,327,9,failure,no
23,management,single,unknown,no,48836,no,no,telephone,19,jun,478,15,84,4,other,yes
29,admin.,married,secondary,no,93651,no,no,cellular,3,may,844,16,262,4,unknown,yes
18,housemaid,married,secondary,no,75789,yes,no,cellular,13,jan,2623,5,-1,0,unknown,no
38,technician,married,tertiary,no,51754,yes,no,cellular,20,dec,2788,3,196,7,failure,yes
23,technician,married,primary,no,42949,no,no,telephone,30,apr,840,20,-1,0,unknown,yes
55,housemaid,single,secondary,no,-243,no,no,telephone,26,may,3211,17,145,3,failure,no
54,admin.,married,tertiary,no,16430,no,no,cellular,11,mar,644,20,66,1,other,yes
64,blue-collar,married,tertiary,no,95270,no,yes,telephone,23,nov,2360,20,356,10,success,no
30,management,divorced,primary,no,53556,no,no,cellular,13,may,3153,5,14,5,other,yes
37,admin.,single,secondary,no,14136,yes,no,cellular,16,may,277,6,-1,0,unknown,no
25,entrepreneur,married,unknown,no,75438,yes,no,cellular,10,sep,2692,4,134,3,other,yes
18,management,married,tertiary,no,5687,yes,no,telephone,13,aug,2341,15,-1,0,unknown,yes
57,housemaid,single,secondary,no,43617,yes,no,cellular,8,may,1994,4,129,8,failure,no
89,admin.,married,tertiary,no,3076,yes,no,telephone,14,sep,971,4,-1,0,unknown,no
