Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
298,Valentino Rossi: The Game,2016,Racing,Namco Bandai Games,0.05,0.02,0,0.01,0.07
299,Disneyland Adventures,2017,Action-Adventure,Microsoft Studios,0.05,0.01,0,0.01,0.07
300,Dynasty Warriors 8: Empires,2014,Action,Tecmo Koei,0.04,0.02,0,0.01,0.07
301,Resident Evil 6,2016,Shooter,Capcom,0.06,0,0,0.01,0.07
302,Ghostbusters (2016),2016,Action,Activision,0.06,0,0,0.01,0.07
303,R.B.I. Baseball 2017,2017,Sports,MLB.com,0.06,0,0,0.01,0.07
304,Aven Colony,2017,Strategy,Sold Out,0.06,0,0,0.01,0.06
305,Adventure Time: Finn & Jake Investigations,2015,Action,Little Orbit,0.04,0.02,0,0.01,0.06
306,Atari Flashback Classics: Volume 1,2016,Misc,Atari,0.06,0,0,0.01,0.06
307,MotoGP 17,2017,Racing,Koch Media,0.04,0.02,0,0.01,0.06
308,Wasteland 2,2015,Role-Playing,Deep Silver,0.05,0.01,0,0.01,0.06
309,MX vs ATV Supercross Encore 2017 Track Edition,2017,Racing,THQ Nordic,0.05,0,0,0.01,0.06
310,Cartoon Network Battle Crashers,2016,Action,Maximum Games,0.05,0.01,0,0.01,0.06
311,Hasbro Family Fun Pack Conquest Edition,2016,Misc,Ubisoft,0.05,0,0,0.01,0.06
312,Sherlock Holmes: The Devil's Daughter,2016,Adventure,Bigben Interactive,0.05,0,0,0.01,0.06
313,MX vs. ATV Supercross Encore,2015,Sports,Nordic Games,0.05,0,0,0.01,0.06
314,Killing Floor 2 ,2017,Shooter,Tripwire Interactive,0.05,0,0,0.01,0.06
315,R.B.I. Baseball 2016,2016,Sports,MLB.com,0.05,0,0,0.01,0.06
316,Okami,2017,Action,Capcom,0.05,0,0,0.01,0.06
317,Rapala Fishing Pro Series,2017,Simulation,GameMill,0.05,0,0,0.01,0.06
318,Arslan: The Warriors of Legend,2016,Action,Tecmo Koei,0.05,0,0,0.01,0.06
319,Golf Club 2,2017,Sports,Maximum Games,0.05,0,0,0.01,0.06
320,Mark McMorris Infinite Air,2016,Sports,Maximum Games,0.05,0,0,0.01,0.06
321,Atari Flashback Classics: Volume 2,2016,Misc,Atari,0.05,0,0,0.01,0.06
322,Hunting Simulator,2017,Shooter,Bigben Interactive,0.05,0,0,0.01,0.06
323,Styx: Shards of Darknes,2017,Action,Focus Home Interactive,0.05,0,0,0.01,0.06
324,Marvel's Guardians of the Galaxy: The Telltale Series,2017,Adventure,Warner Bros. Interactive Entertainment,0.05,0,0,0.01,0.05
325,Baja: Edge of Control HD,2017,Racing,THQ Nordic,0.05,0,0,0.01,0.05
326,Agatha Christie's The ABC Murders,2016,Adventure,Microids,0.04,0,0,0.01,0.05
327,Brothers: A Tale of Two Sons,2015,Adventure,505 Games,0.04,0.01,0,0.01,0.05
328,The Walking Dead: A Telltale Series Collection,2017,Adventure,Warner Bros. Interactive Entertainment,0.05,0,0,0.01,0.05
329,Rugby 18,2017,Sports,Koch Media,0.04,0,0,0.01,0.05
330,Has-Been Heroes,2017,Action,GameTrust,0.04,0,0,0.01,0.05
331,Deformers,2017,Action,Ready at Dawn,0.04,0,0,0.01,0.05
332,Extinction,2018,Action,Maximum Games,0.04,0,0,0.01,0.05
333,Resident Evil 4 HD,2016,Action-Adventure,Capcom,0.04,0,0,0.01,0.05
334,The Technomancer,2016,Role-Playing,Focus Home Interactive,0.03,0.02,0,0,0.05
335,Cars 3: Driven to Win,2017,Racing,Warner Bros. Interactive Entertainment,0.04,0,0,0.01,0.05
336,Pillars of Eternity,2017,Role-Playing,Paradox Interactive ,0.04,0,0,0.01,0.05
337,Just Sing,2016,Music,Ubisoft,0.04,0,0,0.01,0.05
338,Mighty No. 9,2016,Platform,Deep Silver,0.04,0,0,0.01,0.05
339,Batman: The Enemy Within,2017,Adventure,Telltale Games,0.04,0,0,0.01,0.05
340,WRC 7,2017,Racing,Bigben Interactive,0.04,0,0,0.01,0.05
341,King's Quest: The Complete Collection,2016,Adventure,Activision,0.04,0,0,0.01,0.05
342,Marvel Pinball: Epic Collection Volume 1,2016,Puzzle,Nighthawk Interactive,0.04,0,0,0.01,0.05
343,Road Rage,2017,Racing,Maximum Games,0.04,0,0,0,0.04
344,Dragon's Dogma,2017,Role-Playing,Capcom,0.04,0,0,0,0.04
345,Deer Hunter Reloaded,2017,Shooter,GameMill Entertainment,0.04,0,0,0,0.04
346,Overcooked,2016,Action,Sold Out,0.04,0,0,0,0.04
347,Resident Evil 5 HD,2016,Action,Capcom,0.04,0,0,0,0.04
348,Darksiders: Warmastered Edition,2016,Action-Adventure,THQ Nordic,0.04,0,0,0,0.04
349,Valkyria: Azure Revolution,2017,Role-Playing,Deep Silver,0.04,0,0,0,0.04
350,Game of Thrones (Telltale),2015,Adventure,Telltale Games,0.04,0,0,0,0.04
351,Terraria,2014,Action,505 Games,0,0.04,0,0,0.04
352,Elex,2017,Role-Playing,THQ Nordic,0.04,0,0,0,0.04
353,Battle Chasers: Nightwar,2017,Role-Playing,THQ Nordic,0.04,0,0,0,0.04
354,Don't Starve,2018,Adventure,505 Games,0.04,0,0,0,0.04
355,Dead Rising 2,2016,Action,Capcom,0.03,0,0,0,0.04
356,Don Bradman Cricket 14,2015,Sports,Tru Blu Entertainment,0,0.04,0,0,0.04
357,Monster Jam: Crush It,2016,Racing,GameMill,0.03,0,0,0,0.04
358,Shadow Warrior (2013),2014,Shooter,Devolver Digital,0,0.04,0,0,0.04
359,Dead Alliance,2017,Shooter,Maximum Games,0.03,0,0,0,0.04
360,Warriors Orochi 3,2014,Action,Tecmo Koei,0.01,0.03,0,0,0.04
361,Dead Rising,2016,Action,Capcom,0.03,0,0,0,0.04
362,Sine Mora,2017,Action,THQ Nordic,0.03,0,0,0,0.04
363,WRC 6,2016,Racing,PQube,0.03,0,0,0,0.03
364,Black Mirror,2017,Adventure,THQ Nordic,0.03,0,0,0,0.03
365,Pure Farming 2018,2018,Simulation,Techland,0.03,0,0,0,0.03
366,MotoGP 15,2015,Racing,Milestone S.r.l.,0,0.03,0,0,0.03
367,Raid: World War II,2017,Shooter,505 Games,0.03,0,0,0,0.03
368,Carmageddon: Max Damage,2016,Action,Stainless Games,0.02,0.01,0,0,0.03
369,INSIDE / LIMBO Double Pack,2017,Platform,505 Games,0.03,0,0,0,0.03
370,Warhammer: The End Times - Vermintide,2016,Action,Games Workshop,0.03,0,0,0,0.03
371,Stardew Valley,2017,Simulation,505 Games,0.02,0,0,0,0.03
372,Ben 10 (2017),2017,Action,Outright Games,0.02,0,0,0,0.03
373,The Pillars of the Earth,2017,Adventure,Kalypso Media,0.02,0,0,0,0.03
374,Rime,2017,Adventure,Grey Box,0.02,0,0,0,0.03
375,Worms: WMD,2016,Strategy,Team17 Digital Ltd,0.02,0,0,0,0.02
376,Syberia III,2017,Adventure,Microids,0.02,0,0,0,0.02
377,Moto Racer 4,2016,Racing,PQube,0.02,0,0,0,0.02
378,Rugby League Live 4,2017,Sports,Tru Blu Entertainment,0,0.02,0,0,0.02
379,ABZU,2017,Adventure,505 Games,0.02,0,0,0,0.02
380,Pharaonic,2017,Action,Soedesco,0.02,0,0,0,0.02
381,Geometry Wars 3: Dimensions Evolved,2016,Action,Activision,0.02,0,0,0,0.02
382,Resident Evil: Revelations,2017,Action,Capcom,0.02,0,0,0,0.02
383,Broken Sword 5: The Serpent's Curse,2015,Adventure,Revolution Software,0,0.02,0,0,0.02
384,Rugby World Cup 2015,2015,Sports,Big Ben Interactive,0,0.02,0,0,0.02
385,The Crew: Wild Run,2015,Racing,Ubisoft,0,0.02,0,0,0.02
386,Prison Architect,2016,Simulation,Introversion Software,0.02,0,0,0,0.02
387,The Dwarves,2016,Role-Playing,THQ Nordic,0.02,0,0,0,0.02
388,Big Buck Hunter Arcade,2017,Shooter,GameMill,0.02,0,0,0,0.02
389,Redout,2017,Racing,505 Games,0.02,0,0,0,0.02
390,Troll and I,2017,Action,Maximum Games,0.02,0,0,0,0.02
391,Portal Knights,2017,Role-Playing,505 Games,0.02,0,0,0,0.02
392,Shaq-Fu: A Legend Reborn,2018,Action,Wired Productions,0.02,0,0,0,0.02
393,Psycho-Pass,2014,Visual Novel,5pb,0,0,0.02,0,0.02
394,Tropico 5,2016,Simulation,Kalypso Media,0.02,0,0,0,0.02
395,Back to the Future: The Game,2015,Adventure,Telltale Games,0,0.02,0,0,0.02
396,Saints Row: Gat out of Hell,2015,Action,Deep Silver,0,0.02,0,0,0.02
397,Mega Man Legacy Collection 2,2017,Action,Capcom,0.02,0,0,0,0.02
398,Dungeons 3,2017,Strategy,Kalypso Media,0.02,0,0,0,0.02
399,Blackguards 2,2017,Strategy,Kalypso Media,0.02,0,0,0,0.02
400,Rogue Trooper: Redux,2017,Shooter,Rebellion,0.02,0,0,0,0.02
401,Vikings: Wolves of Midgard,2017,Action,Kalypso Media,0.01,0,0,0,0.02
402,The Inner World: The Last Wind Monk,2017,Puzzle,Kalypso Media,0.01,0,0,0,0.02
403,Assetto Corsa,2016,Racing,505 Games,0,0.01,0,0,0.02
404,Le Tour de France 2017,2017,Simulation,Focus Home Interactive,0,0.01,0,0,0.02
405,Lock's Quest,2017,Strategy,THQ Nordic,0.01,0,0,0,0.02
406,WRC 5: FIA World Rally Championship,2015,Racing,Bigben Interactive,0,0.01,0,0,0.02
407,FlatOut 4: Total Insanity,2017,Racing,Bigben Interactive,0.01,0,0,0,0.01
408,Shadow Tactics: Blades of the Shogun,2017,Strategy,Kalypso Media,0.01,0,0,0,0.01
409,The Town of Light,2017,Adventure,THQ Nordic,0.01,0,0,0,0.01
410,Goat Simulator,2016,Simulation,Koch Media,0,0.01,0,0,0.01
411,Rugby League Live 3,2015,Sports,Tru Blu Entertainment,0,0.01,0,0,0.01
412,Assassin's Creed Chronicles,2016,Action,Ubisoft,0,0.01,0,0,0.01
413,Sébastien Loeb Rally Evo,2016,Racing,Milestone S.r.l,0,0.01,0,0,0.01
414,Rugby Challenge 3,2016,Sports,Alternative Software,0,0.01,0,0,0.01
415,Rabbids Invasion: The Interactive TV Show,2014,Misc,Ubisoft,0,0.01,0,0,0.01
416,ZombiU,2016,Action,Ubisoft,0,0.01,0,0,0.01
417,This War of Mine,2016,Action,11 bit studios,0,0.01,0,0,0.01
418,Battle Worlds: Kronos,2016,Strategy,Nordic Games,0.01,0,0,0,0.01
419,ScreamRide,2015,Simulation,Microsoft Studios,0,0.01,0,0,0.01
420,Torment: Tides of Numenera,2017,Role-Playing,Techland,0.01,0,0,0,0.01
421,Ziggurat,2016,Shooter,Soedesco,0,0.01,0,0,0.01
422,ATV Renegades,2017,Racing,Nighthawk Interactive,0,0,0,0,0.01
423,This Is The Police,2017,Simulation,THQ Nordic,0,0,0,0,0.01
424,Valhalla Hills,2017,Strategy,Kalypso Media,0,0,0,0,0
425,Handball 16,2015,Sports,Bigben Interactive,0,0,0,0,0
426,Shovel Knight,2015,Platform,Yacht Club Games,0,0,0,0,0
427,Blood Bowl 2,2015,Sports,Focus Home Interactive,0,0,0,0,0
428,The Peanuts Movie: Snoopy's Grand Adventure,2015,Platform,Activision,0,0,0,0,0
429,Farming 2017 - The Simulation,2016,Simulation,UIG Entertainment,0,0,0,0,0
430,Kung Fu Panda: Showdown of Legendary Legends,2015,Action,Little Orbit,0,0,0,0,0
431,Strider (2014),2014,Platform,Capcom,0,0,0,0,0
432,The Amazing Spider-Man 2,2014,Misc,Activision,0,0,0,0,0
433,Mega Man Legacy Collection,2016,Platform,Capcom,0,0,0,0,0
434,A Boy and His Blob,N/A,Platform,,0,0,0,0,0
435,Agatha Christie: The ABC Murders,2016,Adventure,Microids,0,0,0,0,0
436,Ancients of Ooga - The Forgotten Chapters,2016,Platform,Koch Media,0,0,0,0,0
437,Another World,N/A,Adventure,,0,0,0,0,0
438,Bladestorm: The Hundred Years' War,2015,Action,BioWare,0,0,0,0,0
439,Brothers in Arms: Furious 4,2019,Shooter,Ubisoft,0,0,0,0,0
440,Buzz Buzz Bang,N/A,Action,,0,0,0,0,0
441,Woolfe: The Red Hood Diaries,N/A,Adventure,,0,0,0,0,0
442,SlashDash,N/A,Action,,0,0,0,0,0
443,Devil May Cry 4,2015,Action,Capcom,0,0,0,0,0
444,#IDARB,N/A,Action,,0,0,0,0,0
445,Frog Toss,N/A,Misc,,0,0,0,0,0
446,Gran Turismo 5 Prologue Spec III,2014,Misc,Wizards of the Coast,0,0,0,0,0
447,Industry Giant II,2017,Strategy,UIG Entertainment,0,0,0,0,0
448,Killer Instinct,2020,Misc,Microsoft Game Studios,0,0,0,0,0
449,King's Quest I: Quest for the Crown (VGA Version),N/A,Misc,,0,0,0,0,0
450,LIMBO,N/A,Platform,,0,0,0,0,0
451,Mount & Blade: Warband,2016,Role-Playing,Koch Media,0,0,0,0,0
452,Neverwinter,N/A,Role-Playing,,0,0,0,0,0
453,Pier Solar and the Great Architects,N/A,Role-Playing,,0,0,0,0,0
454,Spectra 8bit Racing,N/A,Racing,,0,0,0,0,0
455,Nero,N/A,Puzzle,,0,0,0,0,0
456,Pinball FX 2,N/A,Misc,,0,0,0,0,0
457,Gran Turismo HD Concept,N/A,Misc,,0,0,0,0,0
458,Dear Esther,N/A,Adventure,,0,0,0,0,0
459,Lightning Returns: Final Fantasy XIII,2013,Misc,Square Enix,0,0,0,0,0
460,Oddworld: Abe's Oddysee New N' Tasty!,N/A,Platform,,0,0,0,0,0
461,Lifeless Planet,N/A,Puzzle,,0,0,0,0,0
462,Slender: The Arrival,2015,Adventure,Unknown,0,0,0,0,0
463,Lovers in a Dangerous Spacetime,N/A,Action,,0,0,0,0,0
464,Human Element,2015,Misc,Unknown,0,0,0,0,0
465,Whore of the Orient,2020,Misc,Warner Bros. Interactive Entertainment,0,0,0,0,0
466,Max: the Curse of Brotherhood,N/A,Action-Adventure,,0,0,0,0,0
467,Axiom Verge,N/A,Action,,0,0,0,0,0
468,Guacamelee!,N/A,Action,,0,0,0,0,0
469,Carmageddon: Reincarnation,2015,Misc,Stainless Games,0,0,0,0,0
470,The Banner Saga,N/A,Role-Playing,,0,0,0,0,0
471,Cobalt,N/A,Action,,0,0,0,0,0
472,Plague Inc.,N/A,Strategy,,0,0,0,0,0
473,BADLAND,N/A,Action,,0,0,0,0,0
474,Halo: Spartan Assault,N/A,Shooter,,0,0,0,0,0
475,Halo 6,2020,Shooter,Microsoft Game Studios,0,0,0,0,0
476,D4,N/A,Adventure,,0,0,0,0,0
477,Crimson Dragon,N/A,Shooter,,0,0,0,0,0
478,Below,N/A,Action-Adventure,,0,0,0,0,0
479,Peggle 2,N/A,Misc,,0,0,0,0,0
480,LocoCycle,N/A,Action,,0,0,0,0,0
481,Powerstar Golf,N/A,Sports,,0,0,0,0,0
482,Kingdom Hearts III,2019,Role-Playing,Square Enix,0,0,0,0,0
483,Black Tusk Studios Game,2020,Misc,Microsoft Game Studios,0,0,0,0,0
484,KickBeat,N/A,Misc,,0,0,0,0,0
485,Reus,2016,Strategy,Soedesco,0,0,0,0,0
486,Rogue Legacy,N/A,Action,,0,0,0,0,0
487,Defense Grid 2,N/A,Misc,,0,0,0,0,0
488,Hellraid,N/A,Misc,,0,0,0,0,0
489,There Came an Echo,N/A,Misc,,0,0,0,0,0
490,Strike Suit Zero,N/A,Misc,,0,0,0,0,0
491,Fable Legends,2019,Role-Playing,Microsoft Studios,0,0,0,0,0
492,WonderFlick,2014,Misc,Level 5,0,0,0,0,0
493,Monochroma,2014,Misc,Unknown,0,0,0,0,0
494,FORCED,N/A,Role-Playing,,0,0,0,0,0
495,Sea Animal Games for Toddlers and Kids with Jigsaw Puzzles,2013,Misc,Ubisoft,0,0,0,0,0
496,Unmechanical,N/A,Puzzle,,0,0,0,0,0
497,Divekick,N/A,Fighting,,0,0,0,0,0
498,Child of Light,N/A,Role-Playing,,0,0,0,0,0
499,Valiant Hearts: The Great War,N/A,Adventure,,0,0,0,0,0
500,Hyper Light Drifter,N/A,Role-Playing,,0,0,0,0,0
501,Legend of Raven,N/A,Misc,,0,0,0,0,0
502,Xbox Fitness,N/A,Misc,,0,0,0,0,0
503,Raven's Cry,2014,Role-Playing,TopWare Interactive,0,0,0,0,0
504,Shantae: Half-Genie Hero,N/A,Platform,,0,0,0,0,0
505,Tales from the Borderlands,2014,Adventure,Telltale Games,0,0,0,0,0
506,Get Even,2015,Misc,Unknown,0,0,0,0,0
507,Threes!,N/A,Puzzle,,0,0,0,0,0
508,Worms Battlegrounds,N/A,Strategy,,0,0,0,0,0
509,Stranger of Sword City,2016,Role-Playing,Experience Inc.,0,0,0,0,0
510,The Book of Unwritten Tales 2,2015,Adventure,Nordic Games,0,0,0,0,0
511,Puyo Puyo Tetris,2014,Puzzle,Sega,0,0,0,0,0
512,Razor Global Domination Pro Tour ,N/A,Misc,,0,0,0,0,0
513,Gone Home ,N/A,Adventure,,0,0,0,0,0
514,Costume Quest 2,N/A,Role-Playing,,0,0,0,0,0
515,Aztez,N/A,Misc,,0,0,0,0,0
516,Not a Hero,N/A,Misc,,0,0,0,0,0
517,Cult County,2015,Misc,Renegade Kid,0,0,0,0,0
518,Adr1ft,2016,Adventure,505 Games,0,0,0,0,0
519,R.B.I. Baseball 14,2014,Misc,MLB.com,0,0,0,0,0
520,Blue Estate ,2014,Misc,Focus Home Interactive,0,0,0,0,0
521,Source,N/A,Misc,,0,0,0,0,0
522,Chariot,N/A,Adventure,,0,0,0,0,0
523,Super Time Force,N/A,Misc,,0,0,0,0,0
524,Pure Pool ,N/A,Sports,,0,0,0,0,0
525,Never Alone,N/A,Misc,,0,0,0,0,0
526,Space Hulk: Deathwing,2015,Shooter,Focus Home Interactive,0,0,0,0,0
527,Red Goddess: Inner Mind,N/A,Platform,,0,0,0,0,0
528,Mystereet F: The Detectives' Curtain Call,2014,Misc,5pb,0,0,0,0,0
529,Chaos;Child,2014,Visual Novel,5pb,0,0,0,0,0
530,Fenix Rage,N/A,Platform,,0,0,0,0,0
531,FRU,N/A,Puzzle,,0,0,0,0,0
532,Shiness: The Lightning Kingdom,N/A,Role-Playing,,0,0,0,0,0
533,Ori and the Blind Forest,N/A,Platform,,0,0,0,0,0
534,Phantom Dust (2015),N/A,Action,,0,0,0,0,0
535,Scalebound,2014,Action,PlatinumGames,0,0,0,0,0
536,Crackdown 3,2019,Action,Microsoft Studios,0,0,0,0,0
537,EA Sports PGA Tour,2015,Sports,EA Sports,0,0,0,0,0
538,Lara Croft and the Temple of Osiris,2014,Action,Square Enix,0,0,0,0,0
539,Wulverblade,N/A,Action,,0,0,0,0,0
540,Gunscape,N/A,Action,,0,0,0,0,0
541,Cuphead,N/A,Action,,0,0,0,0,0
542,Knight Squad,N/A,Action,,0,0,0,0,0
543,Dead Island 2,2017,Action,Deep Silver,0,0,0,0,0
544,Inside,N/A,Platform,,0,0,0,0,0
545,Tetris Ultimate ,2014,Puzzle,Ubisoft,0,0,0,0,0
546,Afro Samurai 2,2015,Action,Versus Evil,0,0,0,0,0
547,The Legend of Korra (2014),2014,Action,Activision,0,0,0,0,0
548,Azito x Tatsunoko Legends,N/A,Simulation,,0,0,0,0,0
549,Shooting Love Trilogy,2015,Shooter,Triangle Service,0,0,0,0,0
550,AirMech Arena,N/A,Action,,0,0,0,0,0
551,The Walking Dead: Season Three,N/A,Action,,0,0,0,0,0
552,King of Wushu,2015,Action,Snail Game,0,0,0,0,0
553,Mercury ,2015,Action,Unknown,0,0,0,0,0
554,Pneuma: Breath of Life,N/A,Puzzle,,0,0,0,0,0
555,The Escapists,N/A,Action,,0,0,0,0,0
556,Superhot,N/A,Shooter,,0,0,0,0,0
557,Spectra,N/A,Racing,,0,0,0,0,0
558,Space Engineers,N/A,Simulation,,0,0,0,0,0
559,No Time to Explain,N/A,Action,,0,0,0,0,0
560,Funk of Titans,N/A,Platform,,0,0,0,0,0
561,Fruit Ninja Kinect 2,N/A,Action,,0,0,0,0,0
562,Blues and Bullets,N/A,Action-Adventure,,0,0,0,0,0
563,Game 4,N/A,Strategy,,0,0,0,0,0
564,Raiden V,2016,Action,Moss,0,0,0,0,0
565,Assassin's Creed Chronicles: China,2015,Action-Adventure,Ubisoft,0,0,0,0,0
566,Pathologic,2015,Adventure,Ice-pick Lodge,0,0,0,0,0
567,Geometry Wars 3: Dimensions,N/A,Shooter,,0,0,0,0,0
568,Assassin's Creed: Victory,2015,Action,Ubisoft,0,0,0,0,0
569,The Banner Saga 2,N/A,Role-Playing,,0,0,0,0,0
570,Gigantic,N/A,Action,,0,0,0,0,0
571,Magic Duels: Origin,N/A,Misc,,0,0,0,0,0
572,Shiftlings,N/A,Platform,,0,0,0,0,0
573,Oceanhorn: Monster of Uncharted Seas,N/A,Action,,0,0,0,0,0
574,Beyond Eyes,N/A,Adventure,,0,0,0,0,0
575,Inside My Radio,N/A,Platform,,0,0,0,0,0
576,Kaiju Panic,N/A,Strategy,,0,0,0,0,0
577,Tembo the Badass Elephant,N/A,Platform,,0,0,0,0,0
578,Assassin's Creed Chronicles: Russia,N/A,Action,,0,0,0,0,0
579,Assassin's Creed Chronicles: India,N/A,Action,,0,0,0,0,0
580,Overlord: Fellowship of Evil,N/A,Action,,0,0,0,0,0
581,R.B.I. Baseball 15,2015,Sports,MLB.com,0,0,0,0,0
582,The Walking Dead: Michonne,N/A,Adventure,,0,0,0,0,0
583,Unravel,N/A,Platform,,0,0,0,0,0
584,Tachyon Project,N/A,Action,,0,0,0,0,0
585,Cross Reverie,2017,Role-Playing,Sinxsoft,0,0,0,0,0
586,Goosebumps: The Game,N/A,Adventure,,0,0,0,0,0
587,The Escapists: The Walking Dead,2015,Action,Team17 Software,0,0,0,0,0
588,Woodcutter Simulator 2016,2015,Action,Namco Bandai Games,0,0,0,0,0
589,Professional Farmer 2016,2015,Action,Namco Bandai Games,0,0,0,0,0
590,Professional Lumberjack 2016,2015,Simulation,Namco Bandai Games,0,0,0,0,0
591,Alekhine's Gun,2016,Action,Maximum Games,0,0,0,0,0
592,World to the West,2017,Action-Adventure,Soedesco,0,0,0,0,0
593,The Binding of Isaac: Rebirth,N/A,Action,,0,0,0,0,0
594,Super Dungeon Bros,2016,Action,Wired Productions,0,0,0,0,0
595,Pro Cycling Manager 2016,2016,Sports,Focus Home Interactive,0,0,0,0,0
596,De-formers,N/A,Action,,0,0,0,0,0
597,Wonder Boy: The Dragon's Trap (Remake),N/A,Platform,,0,0,0,0,0
598,Rock of Ages II: Bigger and Boulder,N/A,Action,,0,0,0,0,0
599,Fe,N/A,Action,,0,0,0,0,0
600,We Sing (2016),2016,Music,THQ Nordic,0,0,0,0,0
601,Don Bradman Cricket 17,2016,Sports,Tru Blu Entertainment,0,0,0,0,0
602,Ace Combat 7: Skies Unknown,2019,Shooter,Bandai Namco Games,0,0,0,0,0
603,The Sexy Brutale,N/A,Adventure,,0,0,0,0,0
604,Metro Exodus,2019,Shooter,Deep Silver,0,0,0,0,0
605,Anthem,2019,Role-Playing,Electronic Arts,0,0,0,0,0
606,AereA,2017,Role-Playing,Soedesco,0,0,0,0,0
607,Moons Of Madness,2018,Role-Playing,Unknown,0,0,0,0,0
608,Iron Harvest,2018,Strategy,Unknown,0,0,0,0,0
609,Biomutant,2018,Action,THQ Nordic,0,0,0,0,0
610,Biomutant,2019,Action,THQ Nordic,0,0,0,0,0
611,de Blob,2017,Platform,THQ Nordic,0,0,0,0,0
612,Outcast: Second Contact,2017,Adventure,Bigben Interactive,0,0,0,0,0
613,Code Vein,2019,Action,Bandai Namco Entertainment,0,0,0,0,0
